,Title,List Author,Author(s),Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics,id
45,Our Global Commons [article],James Salzman,"Daniels, Brigham (Cited 98 times); Salzman, James (Cited 1306 times)","Brigham Young University Law Review, Vol. 2014, Issue 6 (2014), pp. 1251-1256",2014 BYU L. Rev. 1251 (2014),na,na,16,na,9553
46,Introduction to the Symposium on Climate Change Localism [comments],James Salzman,"Salzman, James (Cited 1306 times)","AJIL Unbound, Vol. 112, pp. 271-273",na,na,na,3,na,9553
0,Are Asians Black?: The Asian-American Civil Rights Agenda and the Contemporary Significance of the Black/White Paradigm [notes],Janine Young Kim,"Kim, Janine Young (Cited 100 times)","Yale Law Journal , Vol. 108, Issue 8 (June 1999), pp. 2385-2412",na,56,na,11,na,598
1,Off-Court Misbehavior: Sports Leagues and Private Punishment [article],Janine Young Kim,"Kim, Janine Young (Cited 100 times); Parlow, Matthew J. (Cited 205 times)","Journal of Criminal Law and Criminology , Vol. 99, Issue 3 (Spring 2009), pp. 573-598",na,12,na,60,na,598
2,Hate Crime Law and the Limits of Inculpation [article],Janine Young Kim,"Kim, Janine Young (Cited 100 times)","Nebraska Law Review, Vol. 84, Issue 3 (2005-2006), pp. 846-894",84 Neb. L. Rev. 846 (2005-2006),9,na,13,na,598
3,Postracialism: Race after Exclusion [article],Janine Young Kim,"Kim, Janine Young (Cited 100 times)","Lewis & Clark Law Review, Vol. 17, Special Issue: Race & Civil Rights (2013), pp. 1063-1140",17 Lewis & Clark L. Rev. 1063 (2013),8,na,7,na,598
4,"Rule and Exception in Criminal Law (Or, Are Criminal Defenses Necessary?) [article]",Janine Young Kim,"Kim, Janine Young (Cited 100 times)","Tulane Law Review , Vol. 82, Issue 1 (November 2007), pp. 247-296",82 Tul. L. Rev. 247 (2007-2008),5,na,11,na,598
5,The Rhetoric of Self-Defense [article],Janine Young Kim,"Kim, Janine Young (Cited 100 times)","Berkeley Journal of Criminal Law, Vol. 13, Issue 2 (2008), pp. 261-306",13 Berkeley J. Crim. L. 261 (2008),4,na,18,na,598
6,Racial Emotions and the Feeling of Equality [article],Janine Young Kim,"Kim, Janine Young (Cited 100 times)","University of Colorado Law Review, Vol. 87, Issue 2 (2016), pp. 437-500",87 U. Colo. L. Rev. 437 (2016),3,na,21,na,598
7,Resistance and Transformation: Re-Reading Mari Matsuda in the Postracial Era [article],Janine Young Kim,"Kim, Janine Young (Cited 100 times)","Asian Pacific American Law Journal, Vol. 18, Issue 1 (Fall 2012-Spring 2013), pp. 35-50",18 UCLA Asian Pac. Am. L.J. 35 (2012-2013),2,na,13,na,598
8,On Race and Persuasion [article],Janine Young Kim,"Kim, Janine Young (Cited 100 times)","CUNY Law Review, Vol. 20, Issue 2 (2017), pp. 505-512",20 CUNY L. Rev. 505 (2016-2017),1,na,19,na,598
0,"An Empirical Investigation of Judicial Decisionmaking, Statutory Interpretation, and the Chevron Doctrine in Environmental Law [notes]",Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times)","University of Colorado Law Review , Vol. 79, Issue 3 (2008), pp. 767-824",na,40,22,37,na,1403
1,The Phantom Philosophy - An Empirical Investigation of Legal Interpretation [article],Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times); Ford, William K. (Cited 83 times)","Maryland Law Review, Vol. 65, Issue 3 (2006), pp. 841-906",65 Md. L. Rev. 841 (2006),39,na,9,na,1403
2,Advancing the Rebirth of Environmental Common Law [article],Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times); Thomsen, Mark L. (Cited 26 times)","Boston College Environmental Affairs Law Review, Vol. 34, Issue 1 (2007), pp. 1-36",34 B. C. Envtl. Aff. L. Rev. 1 (2007),26,2,8,na,1403
3,"Revisiting the Tense Relationship between the U.S Supreme Court, Administrative Procedure, and the National Environmental Policy Act [article]",Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times)","Stanford Environmental Law Journal, Vol. 25, Issue 1 (2006), pp. 3-28",25 Stan. Envtl. L. J. 3 (2006),25,na,22,na,1403
4,"The Future of Food Eco-Labeling: Organic, Carbon Footprint, and Environmental Life-Cycle Analysis [article]",Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times)","Stanford Environmental Law Journal, Vol. 30, Issue 1 (2011), pp. 3-50",30 Stan. Envtl. L. J. 3 (2011),24,na,126,na,1403
5,"Food, Law & the Environment: Informational and Structural Changes for a Sustainable Food System [article]",Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times)","Utah Environmental Law Review , Vol. 31, Issue 2 (2011), pp. 263-290",na,17,na,26,na,1403
6,Voting and Electoral Politics in the Wisconsin Supreme Court [article],Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times)","Marquette Law Review, Vol. 87, pp. 323-356",87 Marq. L. Rev. 323 (2003-2004),17,na,1,na,1403
7,Environmentalism and the Wisconsin Constitution [article],Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times)","Marquette Law Review , Vol. 90, Issue 3 (Spring 2007), pp. 465-496",na,12,2,9,na,1403
8,The Dubitante Opinion [comments],Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times)","Akron Law Review, Vol. 39, Issue 1 (2006), pp. 1-8",na,11,10,4,na,1403
9,The Utility of Non-Use Values in Natural Resource Damage Assessments [article],Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times); Zahner, Adrianne K. (Cited 14 times)","Boston College Environmental Affairs Law Review, Vol. 32, Issue 3 (2005), pp. 509-526",32 B. C. Envtl. Aff. L. Rev. 509 (2005),11,na,2,na,1403
10,An Empirical Analysis of the Confirmation Hearings of the Justices of the Rehnquist Natural Court [article],Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times); Ford, William K. (Cited 83 times); Ringhand, Lori A. (Cited 114 times)","Constitutional Commentary, Vol. 24, Issue 1 (Spring 2007), pp. 127-198",na,10,na,5,na,1403
11,The Neoliberal Turn in Environmental Regulation [article],Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times); Fiedler, Katherine (Cited 7 times)","Utah Law Review, Vol. 2016, Issue 1 (2016), pp. 1-40",2016 Utah L. Rev. 1 (2016),7,na,27,na,1403
12,Working Class Judges [comments],Jason J. Czarnezki,"Zorn, Christopher (Cited 45 times); Henderson, William D. (Cited 624 times); Czarnezki, Jason J. (Cited 286 times)","Boston University Law Review, Vol. 88, Issue 3 (June 2008), pp. 829-842",na,7,na,2,na,1403
13,New York City Rules - Regulatory Models for Environmental and Public Health [article],Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times)","Hastings Law Journal, Vol. 66, Issue 6 (August 2015), pp. 1621-1660",66 Hastings L.J. 1621 (2014-2015),6,na,13,na,1403
14,Defining the Project Purposes under NEPA: Promoting Consideration of Viable EIS Alternatives [comments],Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times)","University of Chicago Law Review, Vol. 70, Issue 2 (Spring 2003), pp. 599-620",na,5,na,6,na,1403
15,Creating Order Amidst Food Eco-Label Chaos [article],Jason J. Czarnezki,"Czarnezki, Jason (Cited 286 times); Homan, Andrew (Cited 9 times); Jeans, Meghan (Cited 9 times)","Duke Environmental Law & Policy Forum, Vol. 25, Issue 2 (Spring 2015), pp. 281-312",25 Duke Envtl. L. & Pol'y F. 281 (2014-2015),5,na,31,na,1403
16,A Call for Change: Improving Judicial Selection Methods [comments],Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times)","Marquette Law Review, Vol. 89, Issue 1 (Fall 2005), pp. 169-178",na,5,na,7,na,1403
17,The Ideology of Legal Interpretation [article],Jason J. Czarnezki,"Benesh, Sara C. (Cited 43 times); Czarnezki, Jason J. (Cited 286 times)","Washington University Journal of Law & Policy, Vol. 29, Issue 1 (2009), pp. 113-132",na,5,na,19,na,1403
18,"Shifting Science, Considered Costs, and Static Statutes: The Interpretation of Expansive Environmental Legislation [article]",Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times)","Virginia Environmental Law Journal, Vol. 24, Issue 4 (2006), pp. 395-422",24 Va. Envtl. L.J. 395 (2005-2006),4,na,1,na,1403
19,Greenwashing and Self-Declared Seafood Ecolabels [article],Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times); Homan, Andrew (Cited 9 times); Jeans, Meghan (Cited 9 times)","Tulane Environmental Law Journal, Vol. 28, Issue 1 (Winter 2014), pp. 37-52",28 Tul. Envtl. L.J. 37 (2014-2015),4,na,19,na,1403
20,Climate Policy & U.S.-China Relations [article],Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times)","Vermont Journal of Environmental Law, Vol. 12, Issue 3 (Spring 2011), pp. 659-674",na,2,na,6,na,1403
21,Challenges in China's Natural Resources Conservation & Biodiversity Legislation [article],Jason J. Czarnezki,"Yu, Wenxuan (Cited 3 times); Czarnezki, Jason J. (Cited 286 times)","Environmental Law, Vol. 43, Issue 1 (Winter 2013), pp. 125-144",43 Envtl. L. 125 (2013),1,na,12,na,1403
22,Crafting Next Generation Eco-Label Policy [article],Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times); Jonsson, K. Ingemar; Kuh, Katrina","Environmental Law, Vol. 48, Issue 3 (Summer 2018), pp. 409-452",48 Envtl. L. 409 (2018),na,na,31,na,1403
23,A Primer: Air and Water Environmental Quality Standards in the United States [article],Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times); Lam, Siu Tip; Ahmad, Nadia B. (Cited 10 times)","William & Mary Environmental Law and Policy Review, Vol. 40, Issue 1 (Fall 2015), pp. 115-162",40 Wm. & Mary Envtl. L. & Pol'y Rev. 115 (2015-2016),na,na,11,na,1403
24,Global Environmental Law: Food Safety & China [article],Jason J. Czarnezki,"Czarnezki, Jason J. (Cited 286 times); Yanmei, Lin; Field, Cameron F.","Georgetown International Environmental Law Review, Vol. 25, Issue 2 (2013), pp. 261-288",25 Geo. Int'l Envtl. L. Rev. 261 (2012-2013),na,na,21,na,1403
25,"Life Cycle Costing and Food Systems: Concepts, Trends, and Challenges of Impact Valuation [article]",Jason J. Czarnezki,"Fiedler, Katherine (Cited 7 times); Lord, Steven; Czarnezki, Jason J. (Cited 286 times)","Michigan Journal of Environmental & Administrative Law, Vol. 8, Issue 1 (Fall 2018), pp. 1-48",8 Mich. J. Envtl. & Admin. L. 1 (2018),na,na,5,na,1403
0,The Waiver Paradox [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Northwestern University Law Review, Vol. 97, Issue 2 (2002-2003), pp. 801-878",97 Nw. U. L. Rev. 801 (2002-2003),73,4,29,na,986
1,Freedom's Associations [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Washington Law Review, Vol. 77, Issue 3 , pp. 639-768",77 Wash. L. Rev. 639 (January 2002),67,7,12,na,986
2,Copyfraud [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","New York University Law Review, Vol. 81, Issue 3 (June 2006), pp. 1026-1100",81 N.Y.U. L. Rev. 1026 (2006),49,na,20,na,986
3,The Bill of Rights in the Early State Courts [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Minnesota Law Review, Vol. 92, Issue 1 (November 2007), pp. 1-82",92 Minn. L. Rev. 1 (2007-2008),38,2,9,na,986
4,Administering Fair Use [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","William and Mary Law Review, Vol. 51, Issue 2 (November 2009), pp. 395-438",na,37,na,18,na,986
5,Unamendments [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Iowa Law Review, Vol. 90, Issue 5 (May 2005), pp. 1747-1856",90 Iowa L. Rev. 1747 (2004-2005),33,na,12,na,986
6,When Courts Speak: Social Capital and Law's Expressive Function [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Syracuse Law Review, Vol. 49, Issue 3 (1999), pp. 1039-1066",49 Syracuse 1039 (1998-1999),30,na,19,na,986
7,When the Supreme Court is Not Supreme [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Northwestern University Law Review, Vol. 104, Issue 3 (2010), pp. 979-1066",104 Nw. U. L. Rev. 979 (2010),24,na,20,na,986
8,Facebook's Afterlife [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","North Carolina Law Review, Vol. 90, Issue 5 (June 2012), pp. 1643-1686",na,24,3,51,na,986
9,The Security Constitution [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","UCLA Law Review, Vol. 53, Issue 1 (October 2005), pp. 29-152",53 UCLA L. Rev. 29 (2005-2006),20,2,12,na,986
10,The Justice and the Jury [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Brooklyn Law Review , Vol. 72, Issue 1 (Fall 2006), pp. 35-60",na,16,na,13,na,986
11,The Commandeerer in Chief [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Notre Dame Law Review, Vol. 83, Issue 1 (November 2007), pp. 265-352",83 Notre Dame L. Rev. 265 (2007-2008),14,na,13,na,986
12,The Social Capital Argument for Federalism [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Southern California Interdisciplinary Law Journal, Vol. 11, Issue 1 (Winter 2001), pp. 27-62",11 S. Cal. Interdisc. L.J. 27 (2001-2002),14,na,6,na,986
13,Speech and Reciprocity: A Theory of the First Amendment [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Connecticut Law Review, Vol. 34, Issue 2 (Winter 2002), pp. 405-452",34 Conn. L. Rev. 405 (Winter 2002),13,na,4,na,986
14,Towards a Social Capital Theory of Law: Lessons from Collaborative Reproduction [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Santa Clara Law Review, Vol. 39, Issue 1 (1998), pp. 1-78",39 Santa Clara L. Rev. 1 (1998-1999),13,1,na,na,986
15,The Creation of a Constitutional Culture [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Tulsa Law Review, Vol. 40, Issue 4 (Summer 2005), pp. 671-698",na,13,na,5,na,986
16,The Secret Life of Patents [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times); Moore, Matthew (Cited 21 times)","Washburn Law Journal, Vol. 48, Issue 1 (Fall 2008), pp. 33-66",48 Washburn L.J. 33 (2008-2009),10,na,4,na,986
17,The Case for Returning Politicians to the Supreme Court [article],Jason Mazzone,"Alleman, Robert (Cited 8 times); Mazzone, Jason (Cited 532 times)","Hastings Law Journal, Vol. 61, Issue 6 (2009-2010), pp. 1353-1406",na,8,na,1,na,986
18,Batson Remedies [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Iowa Law Review, Vol. 97, Issue 5 (July 2012), pp. 1613-1634",na,8,7,15,na,986
19,From Selma to Ferguson: The Voting Rights Act as a Blueprint for Police Reform [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times); Rushin, Stephen (Cited 220 times)","California Law Review, Vol. 105, Issue 2 (April 2017), pp. 263-334",105 Calif. L. Rev. 263 (April 2017),7,na,68,na,986
20,Federalism as Docket Control [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times); Woock, Carl Emery (Cited 6 times)","North Carolina Law Review, Vol. 94, Issue 1 (December 2015), pp. 7-104",94 N.C. L. Rev. 7 (2015-2016),6,na,16,na,986
21,Rights and Remedies in State Habeas Proceedings [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Albany Law Review, Vol. 74, Issue 4 (2010-2011), pp. 1749-1768",74 Alb. L. Rev. 1749 (2010-2011),4,na,1,na,986
22,Me the People [reviews],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Constitutional Commentary, Vol. 32, Issue 1 (Winter 2017), pp. 143-174",na,2,na,5,na,986
23,Amending the Amendment Procedures of Article V [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Duke Journal of Constitutional Law & Public Policy, Vol. 13, Issue 2 (Spring 2018), pp. 115-148",13 Duke J. Const. L. & Pub. Pol'y 115 (2017-2018),2,na,31,na,986
24,Copyright Easements [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Akron Law Review, Vol. 50, Issue 4 (2016), pp. 725-764",na,1,na,17,na,986
25,Subprecedents [reviews],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Constitutional Commentary, Vol. 33, Issue 3 (Fall 2018), pp. 389-416",na,1,na,6,na,986
26,Obamacare and Problems of Legal Scholarship [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","University of Illinois Law Review, Vol. 2014, Issue 4 (2014), pp. 1265-1272",2014 U. Ill. L. Rev. 1265 (2014),1,na,6,na,986
27,The Rise and Fall of Human Rights: A Sceptical Account of Multilevel Governance [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Cambridge Journal of International and Comparative Law, Vol. 3, Issue 3 (2014), pp. 929-960",na,na,na,8,na,986
28,Use of Military Force at Home [notes],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","New York City Law Review, Vol. 10, Issue 2 (2006-2007), pp. 369-378",na,na,na,1,na,986
29,Above Politics: Congress and the Supreme Court in 2017 [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Chicago-Kent Law Review, Vol. 93, Issue 2 (2018), pp. 373-410",na,na,na,39,na,986
30,The Social Capital Argument for Federalism [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Deakin Law Review, Vol. 6, Issue 2 (2001), pp. 200-237",6 Deakin L. Rev. 200 (2001),na,na,9,na,986
31,Amendmentphobia [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Italian Law Journal, Vol. 2017 Special Issue, pp. 133-138",na,na,na,2,na,986
32,When the Supreme Court Is Not Supreme [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","Revista Forumul Judecatorilor (Judiciary Forum Review), Vol. 2015, Issue 1 (2015), pp. 105-186",na,na,na,na,na,986
33,Federalism Unwritten [article],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","University of Illinois Law Review, Vol. 2013, Issue 5 (2013), pp. 1871-1934",na,na,na,17,na,986
34,Symposium: Federal Responses to Police Misconduct: Possibilities and Limits: Foreword [comments],Jason Mazzone,"Mazzone, Jason (Cited 532 times)","University of Illinois Law Review, Vol. 2018, Issue 5 (2018), pp. 1573-1580",na,na,na,14,na,986
0,Images of the Outsider in American Law and Culture: Can Free Expression Remedy Systemic Social Ills [article],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","Cornell Law Review, Vol. 77, pp. 1258-1297",77 Cornell L. Rev. 1258 (1991-1992),270,na,99,na,5886
1,Critical Race Theory: An Annotated Bibliography [article],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","Virginia Law Review, Vol. 79, Issue 2 (March 1993), pp. 461-516",na,166,na,102,na,5886
2,Norms and Narratives: Can Judges Avoid Serious Moral Error [comments],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","Texas Law Review, Vol. 69, Issue 7 (June 1991), pp. 1929-1984",na,118,na,21,na,5886
3,"Why Do We Tell the Same Stories: Law Reform, Critical Librarianship, and the Triple Helix Dilemma [article]",Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","Stanford Law Review, Vol. 42, Issue 1 (November 1989), pp. 207-226",na,80,na,17,na,5886
4,California's Racial History and Constitutional Rationales for Race-Conscious Decision Making in Higher Education [article],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","UCLA Law Review, Vol. 47, Issue 6 (August 2000), pp. 1521-1614",na,44,na,39,na,5886
5,The Social Construction of Brown v. Board of Education: Law Reform and the Reconstructive Paradox [article],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","William and Mary Law Review, Vol. 36, Issue 2 (January 1995), pp. 547-570",na,42,na,22,na,5886
6,"Hateful Speech, Loving Communities: Why Our Notion of a Just Balance Changes so Slowly [comments]",Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","California Law Review, Vol. 82, Issue 4 (July 1994), pp. 851-870",na,35,na,10,na,5886
7,A Shifting Balance: Freedom of Expression and Hate-Speech Restriction [article],Jean Stefancic,"Stefancic, Jean (Cited 1241 times); Delgado, Richard (Cited 8700 times)","Iowa Law Review, Vol. 78, Issue 3 (March 1993), pp. 737-750",na,34,na,257,na,5886
8,Home-Grown Racism: Colorado's Historic Embrace - And Denial - of Equal Opportunity in Higher Education [article],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","University of Colorado Law Review, Vol. 70, Issue 3 (Summer 1999), pp. 703-812",70 U. Colo. L. Rev. 703 (Summer 1999),32,na,6,na,5886
9,Imposition [article],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","William and Mary Law Review, Vol. 35, Issue 3 (Spring 1994), pp. 1025-1060",35 Wm. & Mary L. Rev. 1025 (1993-1994),31,na,12,na,5886
10,The Law Review Symposium Issue: Community of Meaning or Re-Inscription of Hierarchy [article],Jean Stefancic,"Stefancic, Jean (Cited 1241 times)","University of Colorado Law Review, Vol. 63, Issue 3 (1992), pp. 651-682",na,27,na,7,na,5886
11,"Critical Race Theory: An Annotated Bibliography 1993, A Year of Transition [comments]",Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","University of Colorado Law Review, Vol. 66, Issue 1 (1995), pp. 159-194",na,24,na,49,na,5886
12,"The Racial Double Helix: Watson, Crick, and Brown v. Board of Education (Our No-Bell Prize Award Speech) [comments]",Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","Howard Law Journal, Vol. 47, Issue 3 (Spring 2004), pp. 473-498",na,23,na,1,na,5886
13,Introduction [comments],Jean Stefancic,"Stefancic, Jean (Cited 1241 times); Shapiro, Fred R. (Cited 706 times)","Chicago-Kent Law Review, Vol. 71, Issue 3 (1996), pp. 743-750",na,22,na,16,na,5886
14,Latino and Latina Critical Theory: An Annotated Bibliography [article],Jean Stefancic,"Stefancic, Jean (Cited 1241 times)","California Law Review, Vol. 85, Issue 5 (October 1997), pp. 1509-1584",na,20,na,11,na,5886
15,Ten Arguments against Hate-Speech Regulation: How Valid [article],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","Northern Kentucky Law Review, Vol. 23, Issue 3 (1995-1996), pp. 475-490",na,19,na,na,na,5886
16,Four Observations about Hate Speech [article],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","Wake Forest Law Review, Vol. 44, Issue 2 (2009), pp. 353-370",na,18,na,102,na,5886
17,Outsider Jurisprudence and the Electronic Revolution: Will Technology Help or Hinder the Cause of Law Reform [article],Jean Stefancic,"Stefancic, Jean (Cited 1241 times); Delgado, Richard (Cited 8700 times)","Ohio State Law Journal, Vol. 52, Issue 3 (1991), pp. 847-858",52 Ohio St. L.J. 847 (1991),18,na,6,na,5886
18,Pornography and Harm to Women: No Empirical Evidence [article],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","Ohio State Law Journal, Vol. 53, Issue 4 (1992), pp. 1037-1056",53 Ohio St. L.J. 1037 (1992),16,na,34,na,5886
19,Latino and Latina Critical Theory: An Annotated Bibliography [notes],Jean Stefancic,"Stefancic, Jean (Cited 1241 times)","La Raza Law Journal, Vol. 10, Issue 1 (Spring 1998), pp. 423-498",na,15,na,25,na,5886
20,Why Do We Ask the Same Questions - The Triple Helix Dilemma Revisited [article],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","Law Library Journal, Vol. 99, Issue 2 (Spring 2007), pp. 307-328",na,15,na,25,na,5886
21,Derrick Bell's Chronicle of the Space Traders: Would the U.S. Sacrifice People of Color if the Price were Right [article],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","University of Colorado Law Review, Vol. 62, Issue 2 (1991), pp. 321-330",62 U. Colo. L. Rev. 321 (1991),14,na,50,na,5886
22,Multiracialism: A Bibliographic Essay and Critique in Memory of Trina Grillo [article],Jean Stefancic,"Stefancic, Jean (Cited 1241 times)","Minnesota Law Review, Vol. 81, Issue 6 (June 1997), pp. 1521-1540",na,13,na,9,na,5886
23,"Critical Perspectives on Police, Policing, and Mass Incarceration [article]",Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","Georgetown Law Journal, Vol. 104, Issue 6 (August 2016), pp. 1531-1558",104 Geo. L.J. 1531 (August 2016),12,na,167,na,5886
24,"Law Review Symposium: A Hard Party to Crash for Crits, Feminists, and Other Outsiders [article]",Jean Stefancic,"Stefancic, Jean (Cited 1241 times)","Chicago-Kent Law Review, Vol. 71, Issue 3 (1996), pp. 989-1000",na,10,na,5,na,5886
25,Cosmopolitanism Inside Out: International Norms and the Struggle for Civil Rights and Local Justice [article],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","Connecticut Law Review, Vol. 27, Issue 3 (Spring 1995), pp. 773-788",na,9,na,4,na,5886
26,Outsider Scholars: The Early Stories [article],Jean Stefancic,"Stefancic, Jean (Cited 1241 times); Delgado, Richard (Cited 8700 times)","Chicago-Kent Law Review, Vol. 71, Issue 3 (1996), pp. 1001-1016",na,8,na,2,na,5886
27,"Apologize and Move On: Finding a Remedy for Pornography, Insult, and Hate Speech [reviews]",Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","University of Colorado Law Review, Vol. 67, Issue 1 (1996), pp. 93-112",na,8,na,7,na,5886
28,Can Lawyers Find Happiness [article],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","Syracuse Law Review, Vol. 58, Issue 2 (2008), pp. 241-260",na,8,na,15,na,5886
29,Needles in the Haystack: Finding New Legal Movements in Casebooks [article],Jean Stefancic,"Stefancic, Jean (Cited 1241 times)","Chicago-Kent Law Review, Vol. 73, Issue 3 (1998), pp. 755-764",na,7,na,1,na,5886
30,"Talk the Talk, but Walk the Walk: A Comment on Joan Williams's Reshaping the Work-Family Debate [article]",Jean Stefancic,"Stefancic, Jean (Cited 1241 times)","Seattle University Law Review, Vol. 34, Issue 3 (Spring 2011), pp. 815-824",na,7,2,6,na,5886
31,Panthers and Pinstripes: The Case of Ezra Pound and Archilbald Macleish [article],Jean Stefancic,"Stefancic, Jean (Cited 1241 times); Delgado, Richard (Cited 8700 times)","Southern California Law Review, Vol. 63, Issue 4 (May 1990), pp. 907-936",63 S. Cal. L. Rev. 907 (May 1990),7,na,8,na,5886
32,Affirmative Action: Diversity of Opinions - An Overview of the Colorado Law Review Symposium [comments],Jean Stefancic,"Stefancic, Jean (Cited 1241 times)","University of Colorado Law Review, Vol. 68, Issue 4 (1997), pp. 833-840",na,6,na,6,na,5886
33,Southern Dreams and a New Theory of First Amendment Legal Realism [article],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","Emory Law Journal, Vol. 65, Issue 2 (2015), pp. 303-358",na,5,na,6,na,5886
34,Hate Speech in Cyberspace [article],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","Wake Forest Law Review, Vol. 49, Issue 2 (2014), pp. 319-344",49 Wake Forest L. Rev. 319 (2014),5,na,308,na,5886
35,Four Ironies of Campus Climate [article],Jean Stefancic,"Delgado, Richard (Cited 8700 times); Stefancic, Jean (Cited 1241 times)","Minnesota Law Review, Vol. 101, Issue 5 (May 2017), pp. 1919-1942",101 Minn. L. Rev. 1919 (2016-2017),5,na,54,na,5886
