Title,List Author,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics,ID
Examining the Biological Bases of Family Law: Lessons to Be Learned for the Evolutionary Analysis of Law [article],June Carbone,"Carbone, June (Cited 1072 times); Cahan, Naomi",,"International Journal of Law in Context, Vol. 2, Issue 3 (September 2006), pp. 277-292",2 Int'l J. L. Context 277 (2006),na,na,3,"Family Law, Regulation, Jurisprudence, Legislation",2160.0
"Reality and the Family Courts: Book Review: Jane Murphy and Jana Singer, Divorced from Reality: Rethinking Family Dispute Resolution [reviews]",June Carbone,"Cahn, Naomi (Cited 883 times); Carbone, June (Cited 1072 times)",,"Journal of the American Academy of Matrimonial Lawyers, Vol. 28, Issue 1 (2015), pp. 309-320",28 J. Am. Acad. Matrimonial Law. 309 (2015-2016),na,na,8,"Courts, Dispute Resolution, Family Law, Legislation, States",2160.0
Surrogacy Professionalism [article],June Carbone,"Carbone, June (Cited 1072 times); Miller, Christina O.",,"Journal of the American Academy of Matrimonial Lawyers, Vol. 31, Issue 1 (2018), pp. 1-54",31 J. Am. Acad. Matrimonial Law. 1 (2018-2019),na,na,70,"Contracts, Costs, Taxation-Federal Income, Water, Surrogate Parenthood",2160.0
"North American Regional Meeting of the International Society of Family Law: Apr. 27 & 28, 2018: Introduction [comments]",June Carbone,"Carbone, June (Cited 1072 times)",,"Law and Inequality: A Journal of Theory and Practice, Vol. 37, Issue 1 (Winter 2019), pp. 1-4",37 Law & Ineq. 1 (2019),na,na,3,"Marriage, Polygamy, Same-Sex Marriage, Sex, States, Domestic Relations, Religion",2160.0
What Works for Women at Work: Four Patterns Working Women Need to Know [reviews],June Carbone,"Cahn, Naomi (Cited 883 times); Carbone, June (Cited 1072 times)",,"Journal of Legal Education, Vol. 65, Issue 1 (August 2015), pp. 242-254",65 J. Legal Educ. 242 (2015-2016),na,na,8,"Women, Gender",2160.0
Who Decides What Number of Children Is Right [article],June Carbone,"Carbone, June (Cited 1072 times)",,"Northwestern University Law Review Colloquy, Vol. 104, pp. 109-119",104 Nw. L. Rev. Colloquy 109 (2009-2010),na,na,2,"Children, Medical Jurisprudence, Sexuality and the Law, Death, Ethics",2160.0
Rethinking the Interest-Convergence Thesis [article],Justin Driver,"Driver, Justin (Cited 182 times)",,"Northwestern University Law Review, Vol. 105, Issue 1 (Winter 2011), pp. 149-198",105 Nw. U. L. Rev. 149 (2011),41,na,48,"Interest, Jurisprudence, Education, Sex, Sex Offenders",8653.0
The Consensus Constitution [article],Justin Driver,"Driver, Justin (Cited 182 times)",,"Texas Law Review, Vol. 89, Issue 4 (March 2011), pp. 755-832",89 Tex. L. Rev. 755 (2010-2011),34,na,19,"Legal Analysis and Writing, Judicial Review, Marriage, Same-Sex Marriage, Sex, Sexual Orientation",8653.0
Recognizing Race [article],Justin Driver,"Driver, Justin (Cited 182 times)",,"Columbia Law Review, Vol. 112, Issue 2 (March 2012), pp. 404-458",112 Colum. L. Rev. 404 (2012),21,na,15,"Judges, Race, Discrimination, Employment Practice, Race and Ethnicity, Supreme Court of the United States",8653.0
Constitutional Outliers [article],Justin Driver,"Driver, Justin (Cited 182 times)",,"University of Chicago Law Review, Vol. 81, Issue 3 (Spring 2014), pp. 929-998",81 U. Chi. L. Rev. 929 (2014),18,na,24,"First Amendment, Politics, Hospitals, Identification, Long-Term Care, Religion",8653.0
Supremacies and the Southern Manifesto [article],Justin Driver,"Driver, Justin (Cited 182 times)",,"Texas Law Review, Vol. 92, Issue 5 (April 2014), pp. 1053-1136",92 Tex. L. Rev. 1053 (April 2014),17,na,49,"Computer Programs, Software",8653.0
The Constitutional Conservatism of the Warren Court [article],Justin Driver,"Driver, Justin (Cited 182 times)",,"California Law Review, Vol. 100, Issue 5 (October 2012), pp. 1101-1168",100 Calif. L. Rev. 1101 (2012),11,na,18,"Constitutional Law, Legal History, Common Law, Judges, Legal Analysis and Writing, Criminal Law",8653.0
"Rules, the New Standards: Partisan Gerrymandering and Judicial Manageability after Vieth v. Jubelirer [article]",Justin Driver,"Driver, Justin (Cited 182 times)",,"George Washington Law Review, Vol. 73, Issues 5 and 6 (August 2005), pp. 1166-1192",73 Geo. Wash. L. Rev. 1166 (2004-2005),9,na,15,"Judges, Democracy, Politics, Costs",8653.0
The Significance of the Frontier in American Constitutional Law [article],Justin Driver,"Driver, Justin (Cited 182 times)",,"Supreme Court Review, Vol. 2011, pp. 345-398",2011 Sup. Ct. Rev. 345 (2011),9,na,10,"Constitutional Law, Legal History, Jurisprudence, History",8653.0
Judicial Inconsistency as Virtue: The Case of Justice Stevens [article],Justin Driver,"Driver, Justin (Cited 182 times)",,"Georgetown Law Journal, Vol. 99, Issue 5 (June 2011), pp. 1263-1278",99 Geo. L.J. 1263 (2010-2011),7,na,7,"Biography, Judges, Common Law, Jurisdiction, Jurisprudence, Courts",8653.0
Underenfranchisement: Black Voters and the Presidential Nomination Process [notes],Justin Driver,"Driver, Justin (Cited 182 times)",,"Harvard Law Review, Vol. 117, Issue 7 (May 2004), pp. 2318-2340",117 Harv. L. Rev. 2318 (2003-2004),6,na,na,"Politics, Regulation, Ballots, Mass Media, Primaries",8653.0
Reactionary Rhetoric and Liberal Legal Academia [article],Justin Driver,"Driver, Justin (Cited 182 times)",,"Yale Law Journal, Vol. 123, Issue 8 (June 2014), pp. 2616-2643",123 Yale L. J. 2616 (2013-2014),4,na,8,"Politics, Public Accommodations, Civil Rights, Freedom of Association",8653.0
Public Schools and the U.S. Supreme Court [article] *new*,Justin Driver,"Driver, Justin (Cited 182 times)",,"Insights on Law and Society, Vol. 19, Issue 2 (2019), pp. [10]-[20]",Full Text Not Currently Available in HeinOnline,na,na,na,na,8653.0
The Keyes of Constitutional Law [article],Justin Driver,"Driver, Justin (Cited 182 times)",,"California Law Review, Vol. 106, Issue 6 (December 2018), pp. 1931-1944",106 Calif. L. Rev. 1931 (2018),na,na,na,"Civil Rights, Constitutional Law, Constitutional Law, Generally, Education Law, Legal History, Race and Ethnicity, Supreme Court of the United States, Age, First Amendment",8653.0
"The Ph.D. Rises in American Law Schools, 1960-2011: What Does It Mean for Legal Education [article]",Justin McCrary,"McCrary, Justin (Cited 21 times); Milligan, Joy (Cited 48 times); Phillips, James (Cited 24 times)",,"Journal of Legal Education, Vol. 65, Issue 3 (Spring 2016), pp. 543-579",65 J. Legal Educ. 543 (2015-2016),16,na,10,"Education, Legal Education, Schools, Discipline, Law and Society, Legal Analysis and Writing",6962.0
Do Sexually Violent Predator Laws Violate Double Jeopardy or Substantive Due Process - An Empirical Inquiry [article],Justin McCrary,"Lave, Tamara Rice (Cited 109 times); McCrary, Justin (Cited 21 times)",,"Brooklyn Law Review, Vol. 78, Issue 4 (Summer 2013), pp. 1391-1440",78 Brook. L. Rev. 1391 (2012-2013),3,na,8,"Double Jeopardy, Due Process, Economics, Sexuality and the Law, Predators, Psychiatry and Psychology, Sentencing and Punishment, Sex Crimes, Law Enforcement and Corrections, Legislation",6962.0
Unmarked: Criminal Record Clearing and Employment Outcomes [article],Justin McCrary,"Selbin, Jeffrey (Cited 111 times); McCrary, Justin (Cited 21 times); Epstein, Joshua (Cited 2 times)",,"Journal of Criminal Law and Criminology, Vol. 108, Issue 1 (Winter 2018), pp. 1-72",108 J. Crim. L. & Criminology 1 (2018),1,na,121,"Employment, Employment Practice, Labor Law, Background Checks, Age, Information Privacy",6962.0
General Equilibrium Effects of Prison on Crime: Evidence from International Comparisons [article],Justin McCrary,"McCrary, Justin (Cited 21 times); Sanga, Sarath (Cited 18 times)",,"Cato Papers on Public Policy, Vol. 2, pp. 165-207",2 Cato Papers on Pub. Pol'y 165 (2012-2013),na,na,7,"Evidence, General, Imprisonment",6962.0
The Criminalization of Poverty [article],Kaaryn Gustafson,"Gustafson, Kaaryn (Cited 82 times)",,"Journal of Criminal Law and Criminology , Vol. 99, Issue 3 (Spring 2009), pp. 643-716",99 J. Crim. L. & Criminology 643 (2008-2009),51,na,173,"Social Welfare Law, Fraud",3885.0
"Breaking Vows: Marriage Promotion, the New Patriarchy, and the Retreat from Egalitarianism [article]",Kaaryn Gustafson,"Gustafson, Kaaryn (Cited 82 times)",,"Stanford Journal of Civil Rights & Civil Liberties, Vol. 5, Issue 2 (October 2009), pp. 269-308",5 Stan. J. C.R. & C.L. 269 (2009),21,na,45,"Marriage, Domestic Relations, Family Law, Jurisdiction, Government, States",3885.0
Degradation Ceremonies and the Criminalization of Low-Income Women [article],Kaaryn Gustafson,"Gustafson, Kaaryn (Cited 82 times)",,"UC Irvine Law Review, Vol. 3, Issue 2 (2013), pp. 297-358",3 UC Irvine L. Rev. 297 (2013),4,na,55,"Women, Law and Society, Civil Procedure, Practice and Procedure, Procedure, Psychiatry and Psychology, Race",3885.0
Broken Promises [comments],Kaaryn Gustafson,"Gustafson, Kaaryn (Cited 82 times)",,"Berkeley Women's Law Journal, Vol. 13, Issue 1 (1998), pp. 3-6",13 Berkeley Women's L.J. 3 (1998),3,na,1,"Affirmative Action, Education, Legal Education",3885.0
"Disability, Fluidity, and Measuring without Baselines [article]",Kaaryn Gustafson,"Gustafson, Kaaryn (Cited 82 times)",,"Mississippi Law Journal, Vol. 75, Issue 4 (Spring 2006), pp. 1007-1038",75 Miss. L.J. 1007 (2005-2006),2,na,22,"Disability, Law and Society, Economics, Labor, Labor Law",3885.0
"No-Drop Prosecution of Domestic Violence: Just Good Policy, or Equal Protection Mandate [notes]",Kalyani Robbins,"Robbins, Kalyani (Cited 97 times)",,"Stanford Law Review, Vol. 52, Issue 1 (November 1999), pp. 205-234",52 Stan. L. Rev. 205 (1999-2000),37,na,24,"Constitutional Law, Domestic Relations, Domestic Violence, Equal Protection, Violence, Legal History",972.0
Awakening the Slumbering Giant: How Horizontal Drilling Technology Brought the Endangered Species Act to Bear on Hydraulic Fracturing [article],Kalyani Robbins,"Robbins, Kalyani (Cited 97 times)",,"Case Western Reserve Law Review, Vol. 63, Issue 4 (Summer 2013), pp. 1143-1166",63 Case W. Res. L. Rev. 1143 (2012-2013),16,na,36,"Endangered Species, Technology, Economics, Fracking",972.0
Paved with Good Intentions: The Fate of Strict Liability under the Migratory Bird Treaty Act [article],Kalyani Robbins,"Robbins, Kalyani (Cited 97 times)",,"Environmental Law, Vol. 42, Issue 2 (Spring 2012), pp. 579-608",42 Envtl. L. 579 (2012),12,na,7,"Criminal Law and Procedure, Natural Resources Law, International Law, Legislation, Oil, Gas and Mineral",972.0
Recovery of an Endangered Provision: Untangling and Revising Critical Habitat under the Endangered Species Act [article],Kalyani Robbins,"Robbins, Kalyani (Cited 97 times)",,"Buffalo Law Review, Vol. 58, Issue 5 (December 2010), pp. 1095-1126",58 Buff. L. Rev. 1095 (2010),11,na,20,"Endangered Species, Natural Resources Law, Administration Law",972.0
Framers' Intent and Military Power: Has Supreme Court Deference to the Military Gone too Far [article],Kalyani Robbins,"Robbins, Kalyani (Cited 97 times)",,"Oregon Law Review, Vol. 78, Issue 3 (Fall 1999), pp. 767-806",78 Or. L. Rev. 767 (1999),7,na,1,"Military Law, Statistics, Constitutional Law",972.0
"Responsible, Renewable, and Redesigned: How the Renewable Energy Movement Can Make Peace with the Endangered Species Act [article]",Kalyani Robbins,"Robbins, Kalyani (Cited 97 times)",,"Minnesota Journal of Law, Science and Technology, Vol. 15, Issue 1 (Winter 2014), pp. 555-584",15 Minn. J.L. Sci. & Tech. 555 (2014),5,na,7,"Endangered Species, Natural Resources Law, Renewable Energy, Animals, History, Oil, Gas and Mineral",972.0
Strength in Numbers: Setting Quantitative Criteria for Listing Species under the Endangered Species Act [article],Kalyani Robbins,"Robbins, Kalyani (Cited 97 times)",,"UCLA Journal of Environmental Law and Policy, Vol. 27, Issue 1 (2009), pp. 1-38",27 UCLA J. Envtl. L. & Pol'y 1 (2009),3,na,8,"Endangered Species, Natural Resources Law, Biodiversity",972.0
Missing the Link: The Importance of Keeping Ecosystems Intact and What the Endangered Species Act Suggests We Do About It [article],Kalyani Robbins,"Robbins, Kalyani (Cited 97 times)",,"Environmental Law, Vol. 37, Issue 3 (Summer 2007), pp. 573-594",37 Envtl. L. 573 (2007),2,na,1,"Endangered Species, Natural Resources Law, Biodiversity, Conservation, Administration Law",972.0
Allocating Property Interests in Ecosystem Services: From Chaos to Flowing Rivers [article],Kalyani Robbins,"Robbins, Kalyani (Cited 97 times)",,"Harvard Environmental Law Review, Vol. 42, Issue 1 (2018), pp. 197-230",42 Harv. Envtl. L. Rev. 197 (2018),2,na,41,"Property, Rivers, Law and Society, Comparative Law, Government",972.0
The Biodiversity Paradigm Shift: Adapting the Endangered Species Act to Climate Change [article],Kalyani Robbins,"Robbins, Kalyani (Cited 97 times)",,"Fordham Environmental Law Review, Vol. 27, Issue 1 (2015), pp. 57-105",27 Fordham Envtl. L. Rev. 57 (2015-2016),1,na,24,"Natural Resources Law, International Law",972.0
Governing the Ungovernable: Integrating the Multimodal Approach to Keeping Agricultural Land Use from Swallowing Ecosystems [article],Kalyani Robbins,"Robbins, Kalyani (Cited 97 times)",,"McGeorge Law Review, Vol. 46, Issue 1 (2014), pp. 67-80",46 McGeorge L. Rev. 67 (2014),1,na,1,"Agriculture Law, Land Use, Conservation, Easements, Property, Regulation, Wildlife",972.0
Symposium: The Next Generation of Environmental and Natural Resources Law: What Has Changed in Forty Years and What Needs to Change as a Result: Introduction [comments],Kalyani Robbins,"Robbins, Kalyani (Cited 97 times)",,"Akron Law Review, Vol. 46, Issue 4 (2013), pp. 837-840",46 Akron L. Rev. 837 (2013),na,na,5,"History, Environmental Law",972.0
"Complementary Authority and the One-Way Ratchet: Ecosystem Services Property, Regulation, and Wildlife Conservation [comments]",Kalyani Robbins,"Robbins, Kalyani (Cited 97 times)",,"Environmental Law, Vol. 48, Issue 2 (Spring 2018), pp. 291-310",48 Envtl. L. 291 (2018),na,na,20,"Conservation, Property, Regulation, Wildlife, Endangered Species, Natural Resources Law, Takings, Rivers",972.0
"Lesser Conservation: The U.S. Fish & Wildlife Service Proposes Threatened Listing for the Lesser Prairie-chicken, Then Guts It [article]",Kalyani Robbins,"Robbins, Kalyani (Cited 97 times)",,"Trends, Vol. 45, Issue 2 (November/December 2013), pp. 21-22",45 Trends 21 (2013-2014),na,na,na,"Conservation, Wildlife, Birds",972.0
Implications of the Tax Reform Proposals for Fraud or How to Shift to a Consumption Tax without Helping the Cheaters [article],Kalyani Robbins,"Robbins, Kalyani (Cited 97 times)",,"Taxes - The Tax Magazine, Vol. 77, Issue 6 (June 1999), pp. 41-46",77 Taxes 41 (1999),na,na,na,"Fraud, Taxation, Prices",972.0
Symposium: Environmental Federalism in the Trump Era: Introduction [comments],Kalyani Robbins,"Robbins, Kalyani (Cited 97 times)",,"FIU Law Review, Vol. 13, Issue 1 (2018), pp. 1-4",13 FIU L. Rev. 1 (2018-2019),na,na,8,"Constitutional Law, Environmental Law, Natural Resources Law, Politics, State and Local Government Law, Age, Climate Change, Water, Regulation",972.0
"Women, Fairness, and Social Security [article]",Karen C. Burke,"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",,"Iowa Law Review, Vol. 82, Issue 4 (May 1997), pp. 1209-1256",82 Iowa L. Rev. 1209 (May 1997),33,na,8,"Social Security, Women, Discrimination, Gender, Law and Society, Race, Retirement",4979.0
The Uncertain Future of Limited Liabiliy Companies [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"American Journal of Tax Policy, Vol. 12, Issue 1 (Spring 1995), pp. 13-60",12 Am. J. Tax Pol'y 13 (1995),23,na,3,"Liability, Limited Liability Companies, Statute of Limitations, Corporations",4979.0
Death without Taxes [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",,"Virginia Tax Review, Vol. 20, Issue 3 (Spring 2001), pp. 499-556",20 Va. Tax Rev. 499 (2000-2001),18,na,6,"Death, Estate Planning, Taxation-Federal, State and Local Government Law",4979.0
Estate Tax Repeal: Through the Looking Glass [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",,"Virginia Tax Review, Vol. 22, Issue 2 (Fall 2002), pp. 187-230",22 Va. Tax Rev. 187 (2002-2003),18,na,9,"State and Local Government Law, Death, Property, Taxation-Federal",4979.0
Secret Surveillance and the European Convention on Human Rights [notes],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"Stanford Law Review, Vol. 33, Issue 6 (July 1981), pp. 1113-1140",33 Stan. L. Rev. 1113 (July 1981),16,1,15,"Human Rights, Privacy, Right of Privacy, Economics, Torts",4979.0
Social Security Reform: Lessons from Private Pensions [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",,"Cornell Law Review, Vol. 92, Number 2 (January 2007), pp. 297-322",92 Cornell L. Rev. 297 (2006-2007),15,1,6,"Pensions, Social Security, Employment Practice, Retirement",4979.0
Partnership Distributions: Options for Reform [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"Florida Tax Review, Vol. 3, Issue 12 (1998), pp. 677-730",3 Fla. Tax Rev. 677 (1996-1998),13,na,3,"Partnerships, Taxation, State and Local Government Law",4979.0
"Family Limited Partnerships: Discounts, Options, and Disappearing Value [comments]",Karen C. Burke,"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",,"Florida Tax Review, Vol. 6, Issue 6 (2004), pp. 649-675",6 Fla. Tax Rev. 649 (2003-2005),12,na,4,"Limited Partnerships, Organizations, Partnerships, Liability, Limited Liability Companies",4979.0
Passthrough Entities: The Missing Element in Business Tax Reform [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"Pepperdine Law Review, Vol. 40, Special Issue (2013), pp. 1329-1344",40 Pepp. L. Rev. 1329 (2012-2013),12,na,18,"Business Organizations, Legislation, States, Taxation-Federal, Tax Policy, Partnerships",4979.0
Turning Slogans into Tax Policy [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",,"Virginia Tax Review, Vol. 27, Issue 4 (Spring 2008), pp. 747-782",27 Va. Tax Rev. 747 (2007-2008),12,na,4,"President/Executive Department, Tax Policy, Taxation-Federal, State and Local Government Law",4979.0
"Lipstick, Light Beer, and Back-Loaded Savings Accounts [article]",Karen C. Burke,"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",,"Virginia Tax Review, Vol. 25, Issue 4 (Spring 2006), pp. 1101-1150",25 Va. Tax Rev. 1101 (2005-2006),11,na,3,"Banking, Beer, Retirement, Jurisdiction, State and Local Government Law, Death",4979.0
Exculpatory Liabilities and Partnership Nonrecourse Allocations [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"Tax Lawyer, Vol. 57, Issue 1 (Fall 2003), pp. 33-60",57 Tax Law. 33 (2003-2004),10,na,8,"Partnerships, Regulation, Liability, Limited Liability Companies",4979.0
Disguised Sales between Parnters and Partnerships: Section 707 and the Forthcoming Regulations [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"Indiana Law Journal, Vol. 63, Issue 3 (1987-1988), pp. 489-538",63 Ind. L.J. 489 (1987-1988),10,na,1,"Partnerships, Sales, Property, Corporations",4979.0
"Social Security Reform: Risks, Returns, and Race [article]",Karen C. Burke,"Brown, Dorothy A. (Cited 469 times); Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",,"Cornell Journal of Law and Public Policy, Vol. 9, Issue 3 (Spring 2000), pp. 633-658",9 Cornell J. L. & Pub. Pol'y 633 (Spring 2000),9,na,3,"Race, Retirement, Social Security, Women, Persons",4979.0
A Consumption Tax on Gifts and Bequests [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",,"Virginia Tax Review, Vol. 17, Issue 4 (Spring 1998), pp. 657-706",17 Va. Tax Rev. 657 (1997-1998),9,na,3,"Gifts, Debt",4979.0
Is the Corporate Tax System Broken [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"Virginia Tax Review, Vol. 28, Issue 2 (Fall 2008), pp. 341-368",28 Va. Tax Rev. 341 (2008-2009),9,na,3,"Taxation, Money, Politics",4979.0
Impact of Social Security Reform on Women's Economic Safety [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",,"New York Law School Journal of Human Rights, Vol. 16, Issue 1 (1999), pp. 375-406",16 N.Y.L. Sch. J. Hum. Rts. 375 (1999-2000),8,na,2,"Retirement, Social Security, Women, Marriage",4979.0
Reparing Inside Basis Adjustments [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"Tax Lawyer, Vol. 58, Issue 3 (Spring 2005), pp. 639-666",58 Tax Law. 639 (2004-2005),7,2,3,Partnerships,4979.0
Reframing Economic Substance [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"Virginia Tax Review, Vol. 31, Issue 2 (Fall 2011), pp. 271-296",31 Va. Tax Rev. 271 (2011-2012),7,na,14,"Corporations, Taxation-Federal Income, Judges, Legal History, Taxation",4979.0
Valuation Freezes after the 1988 Act: The Impact of Section 2036(c) on Closely Held Businesses [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"William and Mary Law Review, Vol. 31, Issue 1 (Fall 1989), pp. 67-156",31 Wm. & Mary L. Rev. 67 (1989-1990),7,na,1,"Legislation, Corporations, Social Welfare Law, Congress, Taxation",4979.0
The Sound and Fury of Carried Interest Reform [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"Columbia Journal of Tax Law, Vol. 1, Issue 1 (2010), pp. 1-45",1 Colum. J. Tax L. 1 (2010),6,na,12,"Interest, Taxation",4979.0
An Aggregate Approach to Indirect Exchanges of Partnership Interests: Reconciling Section 1031 and Subchapter K [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"Virginia Tax Review, Vol. 6, Issue 3 (Winter 1987), pp. 459-504",6 Va. Tax Rev. 459 (1986-1987),6,na,4,"Bail, Statute of Limitations, Property, Taxation",4979.0
Origins and Evolution of Section 751(b) [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"Tax Lawyer, Vol. 60, Issue 2 (Winter 2007), pp. 247-276",60 Tax Law. 247 (2006-2007),5,na,1,"Partnerships, Taxation",4979.0
Privitizing Social Security: Administration and Implementation [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",,"Washington and Lee Law Review, Vol. 58, Issue 4 (Fall 2001), pp. 1325-1352",58 Wash. & Lee L. Rev. 1325 (2001),5,na,3,"Social Security, Retirement",4979.0
Partnership Debt-Equity Exchanges: Kirby Lumber and Subchapter K [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"Tax Lawyer, Vol. 47, Issue 1 (Fall 1993), pp. 13-52",47 Tax Law. 13 (1993-1994),4,na,7,"Debt, Equity, Lumber, Congress, Corporations, Securities, Statute of Limitations",4979.0
"Contributions, Distributions, and Assumption of Liabilities: Confronting Economic Reality [article]",Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"Tax Lawyer, Vol. 56, Issue 2 (Winter 2003), pp. 383-412",56 Tax Law. 383 (2002-2003),3,na,6,"Corporations, Regulation",4979.0
Exploiting the Medicare Tax Loophole [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"Florida Tax Review, Vol. 21, Issue 2 (2018), pp. 570-621",21 Fla. Tax Rev. 570 (2017-2018),3,na,28,"Business Organizations, Medicare, Social Security, Treaties, History, Legislative History",4979.0
Sham Partnerships and Equivocal Transactions [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times); McCouch, Grayson M.P. (Cited 222 times)",,"Tax Lawyer, Vol. 69, Issue 3 (Spring 2016), pp. 625-662",69 Tax Law. 625 (2015-2016),2,na,7,"Business Organizations, Partnerships, Regulation, Taxation-Federal Income",4979.0
"Contributions, Distributions, and Assumption of Liabilities [notes]",Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"GPSolo, Vol. 21, Issue 2 (March 2004), pp. 44-48",21 GPSolo 44 (2004),1,na,1,"Corporations, Regulation, Incorporation",4979.0
Taxing Hot Asset Shifts [comments],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"Florida Tax Review, Vol. 8, Issue 3 (2007), pp. 327-364",8 Fla. Tax Rev. 327 (2006-2008),1,na,na,"Partnerships, Taxation",4979.0
The Moving Target of Tax Reform [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times); McCouch, Grayson M.P. (Cited 222 times)",,"North Carolina Law Review, Vol. 93, Issue 3 (March 2015), pp. 649-672",93 N.C. L. Rev. 649 (March 2015),1,na,5,"Taxation-Federal, Credit",4979.0
COBRA Strikes Back: Anatomy of a Tax Shelter [article],Karen C. Burke,"Burke, Karen C. (Cited 296 times); McCouch, Grayson M. P. (Cited 222 times)",,"Tax Lawyer, Vol. 62, Issue 1 (Fall 2008), pp. 59-92",COBRA Strikes Back: Anatomy of a Tax Shelter,na,na,na,"Health Law, Insurance Law, Strikes, Government, States, Taxation-Federal Income",4979.0
"Hot Asset Exchanges: Integrating Sections 704(c), 734(b), and 751(b) [article]",Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"Tax Lawyer, Vol. 70, Issue 3 (Spring 2017), pp. 711-748",70 Tax Law. 711 (2016-2017),na,na,3,"Partnerships, Taxation",4979.0
Impact of Reform on Women's Economic Security [comments],Karen C. Burke,"Burke, Karen C. (Cited 296 times)",,"New York Law School Journal of Human Rights, Vol. 16, Issue 1 (1999), pp. 263-266",16 N.Y.L. Sch. J. Hum. Rts. 263 (1999-2000),na,na,1,"Women, Retirement, Social Security, Marriage",4979.0
"Secularism and Human Rights: A Contextual Analysis of Headscarves, Religious Expression, and Women's Equality under International Law [article]",Karima Bennoune,"Bennoune, Karima (Cited 115 times)",,"Columbia Journal of Transnational Law, Vol. 45, Issue 2 (2007), pp. 367-426",45 Colum. J. Transnat'l L. 367 (2006-2007),26,na,145,"Human Rights, Human Rights Law, International Law, Religion, Women, Comparative Law",5425.0
Terror/Torture [article],Karima Bennoune,"Bennoune, Karima (Cited 115 times)",,"Berkeley Journal of International Law, Vol. 26, Issue 1 (2008), pp. 1-61",26 Berkeley J. Int'l L. 1 (2008),24,na,48,"Human Rights, Human Rights Law, Military Law, Philosophy, Torture, International Law, Terrorism",5425.0
Toward a Human Rights Approach to Armed Conflict: Iraq 2003 [article],Karima Bennoune,"Bennoune, Karima (Cited 115 times)",,"U.C. Davis Journal of International Law & Policy, Vol. 11, Issue 1 (Fall 2004), pp. 171-228",11 U. C. Davis J. Int'l L. & Pol'y 171 (2004-2005),20,na,39,"Human Rights, Human Rights Law, Military, War and Peace, Crimes, Crimes Against Humanity",5425.0
As-Salamu Alaykum - Humanitarian Law in Islamic Jurisprudence [notes],Karima Bennoune,"Bennoune, Karima (Cited 115 times)",,"Michigan Journal of International Law, Vol. 15, Issue 2 (Winter 1994), pp. 605-644",15 Mich. J. Int'l L. 605 (1993-1994),12,na,24,"Humanitarian Law, Islamic Law, Jurisprudence",5425.0
Remembering the Other's Others: Theorizing the Approach of International law to Muslim Fundamentalism [article],Karima Bennoune,"Bennoune, Karima (Cited 115 times)",,"Columbia Human Rights Law Review, Vol. 41, Issue 3 (Spring 2010), pp. 635-698",41 Colum. Hum. Rts. L. Rev. 635 (2009-2010),9,na,13,"International Law, Religion, Women",5425.0
Sovereignty vs. Suffering - Re-examining Sovereignty and Human Rights through the Lens of Iraq [article],Karima Bennoune,"Bennoune, Karima (Cited 115 times)",,"European Journal of International Law , Vol. 13, Issue 1 (2002), pp. 243-262",Full Text Not Currently Available in HeinOnline,9,na,na,"International Law, Sovereignty, Human Rights, Human Rights Law",5425.0
