,Cluster #,100 Clusters: ,200 Clusters: ,300 Clusters: ,400 Clusters: ,500 Clusters: ,600 Clusters: ,700 Clusters: ,800 Clusters: ,900 Clusters: 
268,268,na,na,"['Culture and Law', 'Pensions', 'Minimum Wage', 'Sexual Harassment', 'Harassment']",['Interrogatories'],['Interpretation and Construction'],['Writs'],['Zoning'],['Freedom of Religion'],['Torture']
269,269,na,na,"['Just Compensation', 'Hijacking', 'Genetics', 'Antidilution Laws', 'Counterfeiting', 'Multinational Corporations', 'Royalties', 'Dilution Laws', 'Disclosure Laws', 'Intellectual Property', 'Nanotechnology', 'Trade Dress', 'Plagiarism']","['Arrest', 'Deportation']","['Due Process of Law', 'Advisory Opinions']",['Artificial Insemination'],['Federal Rules of Civil Procedure'],['Expert Witnesses and Scientific Evidence'],['Drug Abuse']
270,270,na,na,['Interrogatories'],['Precedents'],['Stocks'],"['Eminent Domain', 'Environmental Justice']",['Corporations: Directors'],"['Tortfeasors', 'Product Liability']",['Unfair Competition']
271,271,na,na,"['Stalking', 'Battered Woman Syndrome', 'English Language', 'Criminal Intent', 'Natural Law', 'Self-Defense', 'Foster Care', 'Right to Free Speech', 'Philosophy', 'Genetic Testing', 'Battered Women', 'Boxing', 'Testimony']",['Organ Donation'],"['Just Compensation', 'Electronic Commerce', 'Hijacking', 'Genetics', 'Right of Publicity', 'Indian Law', 'Labor Relations', 'Video Games', 'Industrial and Intellectual Property', 'Counterfeiting', 'Intellectual Property Law', 'International Criminal Law', 'Food and Drug Law', 'Multinational Corporations', 'Antitrust', 'Assignments', 'Political Speech', 'Trade Regulation', 'Medical Devices', 'Publicity', 'Licensing', 'International Trade', 'Disclosure Laws', 'Names', 'Intellectual Property', 'Nanotechnology', 'Cause of Action']","['Conservation', 'Takings Clause', 'Easements', 'Endangered Species', 'Transportation', 'Biodiversity']","['Eminent Domain', 'Fees']",['Price Fixing'],['Judgments']
272,272,na,na,['Capital Market'],['Surrogate Parenthood'],"['Local Government', 'Teachers', 'Public Employees']","['Foreign Investment', 'International Relations', 'Soft Law', 'Indigenous Peoples', 'Law of the Sea', 'American Indians', 'Treaties', 'Foreign Affairs', 'Diplomatic Protection', 'Legislative Bodies', 'Anthropology', 'Biography']",['Fantasy Sports'],['Biotechnology'],['Nuclear Energy']
273,273,na,na,"['Students', 'Unions', 'Medical Ethics', 'Racial Discrimination', 'Blood', 'Alcoholism', 'Sex', 'Spousal Support', 'Possession', 'Immunity', 'Arts', 'Elder Law', 'Duty of Care', 'Nullity', 'Equal Protection', 'Physicians', 'Freedom of Speech', 'Thirteenth Amendment', 'Annulment', 'Shelters', 'Medicaid', 'Children', 'Medical Jurisprudence', 'Legal Profession', 'Commerce Clause', 'Labor Law', ""Patients' Rights"", 'Defamation', 'Torts', 'Statutory Interpretation', 'Emigration and Immigration', 'Sovereign Immunity', 'Obscenity', 'Public Interest Law', 'Victims', 'Marital Property', 'Model Rules of Professional Conduct', 'Public Accommodations', 'Domestic Relations', 'Health Insurance', 'Youth Sports', 'Legislation', 'Health', 'Health Law', 'Clinical Trials', 'Interest Rates', 'Judges', 'Stop and Frisk', 'Violence', 'Gangs', 'Murder', 'Military Occupation', 'Theft', 'Golf', 'Felonies', 'Neutrality', 'Offenses Against the Person', 'Domicile', 'Identification', 'Housing Law', 'Same-Sex Marriage', 'International Criminal Court', 'Informed Consent', 'Jury', 'Sex Discrimination', 'Terrorism', 'Jr', 'Racial Profiling', 'Civil Rights', 'Misdemeanors', 'First Amendment', 'Gay Men and Lesbians', 'Drugs', ""Veterans' Law"", 'Nuclear Waste', 'Sixth Amendment', 'Mental Health', 'Marital Rape', 'Vicarious Liability', 'Nonprofit Organizations', 'School Districts', 'Trials', 'Human Rights Law', 'Federal Rules of Evidence', 'Boycotts', 'Feminism', 'Boundaries', 'False Claims', 'Military Law', 'Sociological Jurisprudence', 'Civil War', 'Immigration Law', 'Insurance Law', 'Lobbying', 'Politics', 'Social Justice', 'Budgets', 'Immigrants', 'Legal Services', 'Food and Drug Law', 'Law Reform', 'Employment Practice', 'Professional Ethics', 'Legal Analysis and Writing', 'Attainder', 'Tenth Amendment', 'Law Enforcement', 'National Security', 'Commitment', 'Term Limits', 'Fourteenth Amendment', 'Police', 'Labor', 'Protective Orders', 'Suicide', 'Trade Unions', 'Refugees', 'Independent Contractors', 'Citizenship', 'Sex Offenders', 'State Agencies', 'President/Executive Department', 'Public Education', 'Eviction', 'Age Discrimination', 'Marriage', 'Public Health', 'Compensatory Damages', 'Statutory Rape', 'Schools', 'Constitutional Courts', 'Legal Ethics', 'Race and Ethnicity', 'Contractors', 'Psychiatry and Psychology', 'Juveniles', 'Persons', 'Social Security', 'Health Law and Policy', 'Recusal', 'Employment', 'War', 'General', 'Education', 'Discrimination', 'Alimony', 'Successor Liability', 'Sentencing and Punishment', 'Jurisprudence', 'Liberty', 'Consent', 'Israel', 'Fifth Amendment', 'Constitutional Law', 'Generally', 'Public Utilities', 'Privileges and Immunities', 'Due Process', 'Law Students', 'Vouchers', 'Age', 'Segregation', 'Law and Society']",['Minimum Wage'],['Social Welfare Law'],"['Consignment', 'Curfew', 'Equal Employment', 'Restorative Justice', 'Abandonment', 'Annexation', 'Courts']",['Disability Law'],['Parking'],['Long-Term Care']
274,274,na,na,['Pregnancy'],['Scholarships'],['Statute of Limitations'],['Aircraft'],['Rivers'],['Oil and Gas Law'],"['Consignment', 'Curfew', 'Equal Employment', 'Restorative Justice', 'Abandonment', 'Annexation', 'Courts']"
275,275,na,na,"['Primaries', 'Uniform Trade Secrets Act', 'Background Checks', 'Felony Murder', 'Duty of Loyalty', 'Tax Returns', 'Felons']","['Investigations', 'Statutes']","['Livestock', 'Sexual Abuse', 'Climate Change']",['Right to Privacy'],['Parole'],"['Due Process of Law', 'Advisory Opinions']",['Fundraising']
276,276,na,na,"['Solar Energy', 'Religious Freedom']",['Tort Reform'],"['Negotiable Instruments', 'Industrial Accidents', 'Common Law']",['Corporations: Directors'],"['Warranties', 'Technology']","['Negotiable Instruments', 'Industrial Accidents', 'Common Law']",['Homelessness']
277,277,na,na,"['Close Corporations', 'Bullying', 'Sodomy']","['Urban Development', 'Fair Market Value', 'Ballots', 'Foreign Ownership', 'Partition', 'Real Property', 'Property Tax', 'Restrictive Covenants']","['Birth Control', 'Child Custody', 'Life Imprisonment', 'Best Interests of the Child', 'Domestic Violence', 'Gender', 'Visitation Rights', 'Parents']",['Capital Punishment'],['Mentally Retarded'],"['Credit Cards', 'Credit']","['Negotiable Instruments', 'Industrial Accidents', 'Common Law']"
278,278,na,na,"['Public Contracts', 'Horse Racing', 'Water Pollution', 'Gasoline', 'Investment Advisers', 'Poultry', 'Agriculture', 'Environmental Law', 'Coroners', 'Animals', 'Water']",['Hazardous Waste'],['Real Estate'],['Engineers'],['Family Planning'],['Sex Crimes'],"['Mutual Funds', 'Casinos', 'Securities']"
279,279,na,na,"['Criminals', 'Minors', 'Adultery', 'Double Jeopardy', 'Predators']","['Gambling', 'World Politics', 'Trade Names', 'Debt', 'Predatory Lending', 'New Deal']","['Habeas Corpus', 'Governors']","['Private International Law', 'Data Protection']",['Duress'],['Fetal Experimentation'],['Holding Companies']
280,280,na,na,['Gas and Mineral'],['Right to Free Speech'],"['Liquidation', 'Trees']","['Greenhouse Gases', 'Air Pollution', 'Rules and Regulations']","['Adultery', 'Double Jeopardy']","['Military Service', 'War and Peace']",['Liens']
281,281,na,na,['Surrogate Parenthood'],['Gaming'],['Parking'],"['Sexting', 'Child Custody', 'Protective Orders', 'Domestic Violence', 'Shield Laws', 'Child Pornography']","['Continuing Legal Education', 'Discrimination in Athletics', 'Legal Education']",['Minorities'],"['Public Defenders', 'Demography', 'Intoxication', 'Provocation', ""Drivers' Licenses"", 'Determinate Sentencing', 'Narcotics', 'Government Contracts', 'Criminal Law and Procedure']"
282,282,na,na,['Precedents'],"['Liquidation', 'Trees']",['Biotechnology'],['Chemicals'],['Income Taxation'],"['Right to Counsel', 'False Claims', 'State Agencies', 'Criminal Act', 'Constitutional Law']",['Natural Resources Law']
283,283,na,na,['Tort Reform'],['Real Estate'],['Reproduction'],['Good Samaritans'],['Reproductive Technology'],['Sociology'],"['Equal Access to Justice', 'Farmworkers', 'Diseases', 'Indemnification', 'Insurance']"
284,284,na,na,['Diplomacy'],"['Consignment', 'Curfew', 'Equal Employment', 'Restorative Justice', 'Abandonment', 'Annexation', 'Courts']",['Banking Law'],"['Teachers', 'Public Employees']",['Sociology'],['Environmental Law'],['Oil and Gas Law']
285,285,na,na,"['Cooperatives', 'Judicial Conduct', 'Adverse Possession', 'Slavery', 'Public Law', 'United Nations', 'Interpreters', 'Secured Transactions', 'Legal Research', 'Legal Writing', 'Right to Education', 'Graduation', 'Admiralty', 'Dogs', 'Continuing Legal Education', 'Lynching', 'Literature', 'Discrimination in Athletics', 'Legal Education', 'Common-Law Marriage', 'Personal Property', 'Franchising', 'Computer Law', 'Accidents', 'Statutory Construction']",['Economic Policy'],"['Greenhouse Gases', 'Public Contracts', 'Gasoline', 'Air Pollution', 'Investment Advisers', 'Utilities', 'Poultry', 'Industry', 'Rules and Regulations', 'Laboratories']","['Waste Disposal', 'Interstate Compacts']",['Prescription Drugs'],['Interpretation and Construction'],['Minorities']
286,286,na,na,"['and Mineral Law', 'Gas']","['Judicial Discretion', 'Deceit', 'Administrative Law Judges', 'Cuba', 'Bad Faith', 'Administration of Justice', 'Pardons', 'Constitutional Amendment', 'Law and Ethics', 'Proxies', 'Administrative Agencies', 'Takeovers', 'Strict Liability', 'Voting', 'Statistics', 'Causation', 'Globalization', 'Guardians']",['Nuisance'],['Brownfields'],['Brownfields'],['Weapons'],['Methodology Of']
287,287,na,na,['Social Welfare Law'],['Liability Insurance'],['Hazardous Waste'],['Organ Donation'],['Homes'],"['Civil Disobedience', 'Constitutional History']",['Confidentiality']
288,288,na,na,"['Tender Offers', 'Derivative Actions']","['Holocaust', 'Computer Crime', 'War Crimes', 'Executive Powers', 'Freedom of the Press', 'Accomplices', 'Whistleblowers', 'Vested Rights', 'Espionage', 'Crimes Against Humanity', 'Military', 'Admiralty Law', 'Comparative and Foreign Law', 'Government Liability', 'Torture']","['Students', 'Medical Ethics', 'Racial Discrimination', 'Sex', 'Spousal Support', 'Possession', 'Arts', 'Elder Law', 'Duty of Care', 'Nullity', 'Equal Protection', 'Freedom of Speech', 'Thirteenth Amendment', 'Shelters', 'Children', 'Commerce Clause', 'Labor Law', 'Defamation', 'Statutory Interpretation', 'Sovereign Immunity', 'Model Rules of Professional Conduct', 'Public Accommodations', 'Legislation', 'Health', 'Judiciary', 'Health Law', 'Judges', 'Violence', 'Golf', 'Neutrality', 'Identification', 'Sex Discrimination', 'Terrorism', 'Racial Profiling', 'Civil Rights', 'Misdemeanors', 'First Amendment', 'Drugs', 'Nuclear Waste', 'Boycotts', 'Desegregation', 'Civil War', 'Immigration Law', 'Lobbying', 'Politics', 'Budgets', 'Legal Services', 'Employment Practice', 'Legal Analysis and Writing', 'Commitment', 'Term Limits', 'Police', 'Labor', 'Suicide', 'Athletics', 'Refugees', 'Citizenship', 'Sex Offenders', 'Public Education', 'Age Discrimination', 'Schools', 'Legal Ethics', 'Race and Ethnicity', 'Psychiatry and Psychology', 'Persons', 'Social Security', 'Employment', 'General', 'Education', 'Discrimination', 'Jurisprudence', 'Fifth Amendment', 'Constitutional Law', 'Public Utilities', 'Law Students', 'Law and Society']","['Military Occupation', 'Felonies', 'Uniform Trade Secrets Act', 'Refugees', ""Victims' Rights"", 'Sentencing and Punishment', 'Benefit Corporations', 'Public Officials', 'Criminal Procedure', 'Education Law', 'Aliens']",['Right to Vote'],"['Practice of Medicine', 'Brain Death']",['Scientific Evidence']
289,289,na,na,"['Gaming', 'Prisoners']","['Students', 'Medical Ethics', 'Racial Discrimination', 'Sex', 'Arts', 'Elder Law', 'Duty of Care', 'Nullity', 'Equal Protection', 'Physicians', 'Thirteenth Amendment', 'Shelters', 'Medicaid', 'Children', 'Medical Jurisprudence', 'Commerce Clause', 'Defamation', 'Statutory Interpretation', 'Sovereign Immunity', 'Public Interest Law', 'Victims', 'Marital Property', 'Model Rules of Professional Conduct', 'Public Accommodations', 'Domestic Relations', 'Health', 'Hospitals', 'Health Law', 'Interest Rates', 'Stop and Frisk', 'Violence', 'Gangs', 'Golf', 'Neutrality', 'Identification', 'Same-Sex Marriage', 'Sex Discrimination', 'Civil Rights', 'First Amendment', 'Gay Men and Lesbians', 'Drugs', ""Veterans' Law"", 'Sociological Jurisprudence', 'Budgets', 'Food and Drug Law', 'Employment Practice', 'Fourteenth Amendment', 'Police', 'Labor', 'Protective Orders', 'Suicide', 'Refugees', 'Citizenship', 'Sex Offenders', 'Public Education', 'Capacity', 'Eviction', 'Age Discrimination', 'Public Health', 'Statutory Rape', 'Race and Ethnicity', 'Psychiatry and Psychology', 'Juveniles', 'Persons', 'Social Security', 'Health Law and Policy', 'Employment', 'War', 'General', 'Education', 'Discrimination', 'Jurisprudence', 'Liberty', 'Consent', 'Constitutional Law', 'Public Utilities', 'Due Process']",['Settlements'],"['Habeas Corpus', 'Governors']",['Colleges and Universities'],['Zoning'],['Public Safety']
290,290,na,na,"['Fundraising', 'Beer', 'Wrongful Death', 'Death']",['Consumer Protection'],"['Drunk Driving', 'Alcohol', 'Dram Shop Laws', 'Diplomatic Privileges and Immunities', 'Court Procedure', 'Social Host Liability']","['Cuba', 'Citizen Suit', 'Voting', 'Guardians']",['Databases'],['Right to Privacy'],['Parole']
291,291,na,na,['Detention'],['Electronics'],"['Public Land', 'Waste Disposal', 'Interstate Compacts']",['Fantasy Sports'],"['Transgender', 'Stem Cell Research', 'Rape', 'Offenses Against the Person', 'Child Support', 'Sexting', 'Disability', 'Child Custody', 'Family Law', 'Rico', 'Spouses', 'Northern Ireland', 'Health Care Providers', 'Presumptions', 'Fair Employment', 'Civil Unions', 'Marriage', 'Homicide', 'Best Interests of the Child', 'Domestic Violence', 'Public Schools', 'Clergy', 'Gender', 'Sexual Orientation', 'Social Sciences']",['Family Planning'],['Sociology']
292,292,na,na,"['Investigations', 'Statutes']",['Reproduction'],['Organ Donation'],['Criminology'],['Right to Privacy'],['Restraint of Trade'],"['Credit Cards', 'Credit']"
293,293,na,na,['Collective Bargaining'],['Unauthorized Practice of Law'],"['Unions', 'Pensions', 'Sexual Harassment', 'Harassment']",['Tort Reform'],"['Sexual Harassment', 'Harassment']",['Colleges and Universities'],"['Punitive Damages', 'Slavery', 'Public Law', 'United Nations', 'Secured Transactions', 'Criminal Law', 'Merit Selection']"
294,294,na,na,"['Public Utilities Law', 'Income Taxation']",['Trespass'],['Air and Space Law'],"['Legal Systems', 'Pollution']","['Pleadings', 'Civil Disobedience', 'Constitutional History']","['Warranties', 'Technology']",['Zoning']
295,295,na,na,"['Arrest', 'Deportation']",['Pregnancy'],"['Peacekeeping Forces', 'Methodology Of']",['Parking'],"['Expungement', ""Workers' Compensation"", 'Disability Insurance', 'Property Insurance', 'Insurance Agents', 'Reinsurance', 'Automobile Insurance', 'Unfair Competition']",['No-Fault'],"['Federal Trade Commission', 'Medical Records', 'Radio', 'Broadband', 'Oral Argument']"
296,296,na,na,"['Emergency Medical Services', 'Child Neglect']","['Foreign Judgments', 'Fundraising', 'International Finance', 'Right to Vote', 'Birth Certificates', 'Defenses', 'Accounting']","['Primaries', 'Background Checks', 'Duty of Loyalty', 'Tax Returns']",['Unauthorized Practice of Law'],['Engineers'],['Capital Punishment'],['Restraint of Trade']
297,297,na,na,"['Pleading and Proof Of', 'Civil Procedure', 'Actions and Defenses', 'Foreign Law', 'Drunk Driving', 'Guardian Ad Litem', 'Debt Collection', 'Personal Injury', 'Dram Shop Laws', 'Diplomatic Privileges and Immunities', 'Contempt', 'Court Procedure', 'Social Host Liability', 'Confessions', 'Court Rules', 'Burden of Proof', 'Practice and Procedure']",['Asylum'],['Tort Reform'],['Stocks'],['Debtors and Creditors'],['Easements'],"['Right to Counsel', 'Racial Profiling', 'State Agencies', 'Sentencing']"
298,298,na,na,"['Oil and Gas', 'Property Law', 'Curriculum', 'Fair Market Value', 'Agriculture Law', 'Highways', 'Ownership', 'Land Use', 'Foreign Ownership', 'Real Property', 'Property Tax']","['Close Corporations', 'Bullying', 'Sodomy']",['Solar Energy'],"['Airports', 'Takings']",['Writs'],['Environmental Justice'],"['Subsidies', 'Plain Language', 'Taxation: International', 'Developing Countries']"
299,299,na,na,"['News Media', 'Movies', 'Commercial Speech', 'Guilty Pleas', 'Libel and Slander', 'Territorial Waters', 'Sedition', 'Hearsay', 'Community Service', 'International Courts and Tribunals', 'Email', 'Privileged Communications', 'Shield Laws', 'News Reporters', 'Right to Be Heard', 'High School', 'Identity Theft', 'Pornography', 'Ombudsmen', 'Public Officials', 'Electronic Surveillance', 'Apologies', 'Mail', 'Juvenile Courts', 'Education Law']",['Gas and Mineral'],"['News Media', 'Political Activity', 'Guilty Pleas', 'Confidential Communications', 'Sedition', 'Uniform Trade Secrets Act', 'Hearsay', 'Community Service', 'Privileged Communications', 'News Reporters', 'Right to Be Heard', 'Identity Theft', 'Public Officials', 'Electronic Surveillance', 'Professions', 'Education Law']","['Duty of Care', 'Physicians', 'Medical Jurisprudence', 'Public Accommodations', 'Health Insurance', 'Golf', 'Neutrality', 'Gay Men and Lesbians', 'Drugs', 'Social Justice', 'Fourteenth Amendment', 'Eviction', 'Public Health', 'Health Law and Policy', 'Liberty']",['European Commission'],"['Pets', 'Communications Law']",['Sex Crimes']
300,300,na,na,na,['Sanctions'],['Liability Insurance'],['Titles'],['Data Protection'],['Boxing'],"['Military Service', 'War and Peace']"
301,301,na,na,na,"['Tender Offers', 'Computer Law', 'Derivative Actions']",['Marketing'],['Power Plants'],['Expert Witnesses and Scientific Evidence'],['Databases'],['Brokers']
302,302,na,na,na,['Battered Women'],"['Arrest', 'Deportation']",['Investment'],['Nuisance'],['Land Use Planning'],['Abortion']
303,303,na,na,na,"['Due Process of Law', 'Advisory Opinions']","['European Commission', 'International Court of Justice', 'Declaratory Judgments']",['Statute of Limitations'],"['Military Occupation', 'War Crimes', 'Torture']",['Holding Companies'],"['Warranties', 'Technology']"
304,304,na,na,na,['Homosexuality'],['Asylum'],['Legal Literature'],['Precedents'],['Witnesses'],['Limited Liability Companies']
305,305,na,na,na,['Drug Abuse'],['Debtors and Creditors'],['Imprisonment'],['Organ Donation'],['Stocks'],['Just Compensation']
306,306,na,na,na,['Power Plants'],['Patents'],['Law'],['Trespass'],['Debtors and Creditors'],['Law']
307,307,na,na,na,['Religious Freedom'],"['Legal Systems', 'Pollution']",['Gas and Mineral'],"['Animal Law', 'Estate Planning']","['Guilty Pleas', 'Privileged Communications', 'News Reporters', 'Right to Be Heard', 'Identity Theft']",['Noneconomic Damages']
308,308,na,na,na,"['Royalties', 'Plagiarism']","['Trade Secrets', 'Uniform Commercial Code', 'Restitution']",['English Language'],['Duty of Loyalty'],['Air and Space Law'],['Parking']
309,309,na,na,na,"['Indictments', 'Banking', 'Lumber', 'Model Business Corporation Act', 'Bankruptcy Law', 'Passports', 'Bankruptcy', 'Community Property', 'Aiding and Abetting', 'Insider Trading', 'Securities Law', 'Corporations: Liability', 'International Organization', 'Banking and Finance', 'Retirement', 'Dividends', 'Corporate Taxation', 'Taxation-Federal Income', 'Taxation', 'Sales', 'Gift Taxation', 'Financial Services', 'International Banking']",['Interrogatories'],['Pregnancy'],['Gas and Mineral'],['Homes'],['Engineers']
310,310,na,na,na,"['Churches', 'Costs', 'Immunity', 'Public Finance', 'Consumer Protection Law', 'Compensation', 'Legal Profession', 'Ecology', 'Torts', 'Subsidies', 'Administrative Law', 'Commerce', 'Security Interests', 'Products Liability Law', 'Mass Media', 'Federalism', 'Health Maintenance Organizations', 'Damages', 'Housing Law', 'Corporations: Foreign', 'Regulation', 'Public Policy', 'E-Commerce', 'Taxation-State and Local', 'Mortgages', 'Interest', 'Vicarious Liability', 'Corporations', 'Petroleum', 'Property', 'Environment', 'Contracts', 'Futures', 'Law Reform', 'Commercial Law', 'Professional Ethics', 'Industry', 'Prescription', 'Liability', 'Permits', 'Standard of Care', 'Ethics', 'Research', 'Athletics', 'Independent Contractors', ""Attorneys' Fees"", 'Compensatory Damages', 'Appeals', 'Revolution', 'Civil Service', 'Subcontractors', 'History', 'Mixed Legal Systems', 'Agency', 'Government', 'Collateral Source Rule', 'Right to Trial', 'State and Local Government Law', 'Trial by Jury', 'Intangible Property', 'Socialism', 'States', 'Age', 'Law and Society']",['Family Planning'],['Close Corporations'],['Sex Crimes'],['Electricity'],['Stamps']
311,311,na,na,na,"['Good Faith', 'Estates', 'Charities', 'Nonprofit Organizations', 'Wills', 'Consumer Credit', 'Marijuana', 'Estates and Trusts', 'Credit Unions', 'Partnerships', 'Liens', 'Israel', 'Inheritance', 'Organizations', 'Fair Housing', 'South Africa']",['Homosexuality'],['Liquidation'],"['Waste Disposal', 'Interstate Compacts']",['Duress'],['Liquidation']
312,312,na,na,na,"['Professional Sports', 'Trademarks']",['Sanctions'],"['Attachment and Garnishment', 'Execution']","['Exterritoriality', 'Confidential Communications', 'Court of Justice of the European Union', 'Corporations: Liability', 'Employees', 'Freedom of Association']","['Fishing', 'Animal Welfare']",['Expert Witnesses']
313,313,na,na,na,"['Homelessness', 'Misconduct']",['Mergers'],['Right to Farm'],['Money Laundering'],['Law'],['Law Students']
314,314,na,na,na,"['Unions', 'Culture and Law', 'Pensions', 'Sexual Harassment', 'Harassment']",['Capital Punishment'],['Plagiarism'],['Right to Farm'],['Tender Offers'],['Stocks']
315,315,na,na,na,['Statute of Limitations'],"['Literature', 'Common-Law Marriage', 'Accidents']",['Interrogatories'],['Farmland'],['Gas and Mineral'],['Writs']
316,316,na,na,na,['Rent'],"['Land Use Planning', 'Airports', 'Takings']",['Deportation'],"['Military Service', 'War and Peace']",['Collective Bargaining'],['Biotechnology']
317,317,na,na,na,['Capital Gains'],"['Gambling', 'Trade Names', 'Debt', 'New Deal']","['Mutual Funds', 'Casinos', 'Securities']",['Stocks'],['Insurance Agents'],['Fees']
318,318,na,na,na,"['Private International Law', 'Data Protection']","['Foreign Law', 'Guardian Ad Litem', 'Debt Collection', 'Supremacy Clause', 'Confessions', 'Court Rules', 'Adversary System', 'Administrative Courts', 'International Commercial Arbitration']","['Good Faith', 'Model Business Corporation Act', 'Estates', 'Charities', 'Wills', 'Law Reform', 'Insider Trading', 'Marijuana', 'Estates and Trusts', 'Subcontractors', 'Credit Unions', 'Partnerships', 'Liens', 'Israel', 'Financial Services']","['Livestock', 'Sexual Abuse', 'Climate Change']",['Engineers'],"['Airports', 'Takings']"
319,319,na,na,na,['Freedom of Information'],['Diplomacy'],['Real Estate'],"['Arts', 'Medical Devices', 'Licensing', 'Science and Technology']",['Tort Claims'],['Gas and Mineral']
320,320,na,na,na,['Criminals'],"['Good Faith', 'Estates', 'Charities', 'Wills', 'Consumer Credit', 'Marijuana', 'Estates and Trusts', 'Subcontractors', 'Credit Unions', 'Partnerships', 'Liens', 'Israel', 'South Africa']","['Rule Against Perpetuities', 'Asset Protection Trusts', 'Gifts']","['Bad Faith', 'Causation']","['Lumber', 'Passports']","['Practice of Medicine', 'Brain Death']"
321,321,na,na,na,['Emergency Medical Services'],"['Internet', 'Copyright']",['Trespass'],['Gaming'],['Bullying'],['Databases']
322,322,na,na,na,"['Spendthrift Trusts', 'Uniform Probate Code']",['Surrogate Parenthood'],"['European Commission', 'International Court of Justice', 'Freedom of Religion']",['Investment'],['Hazardous Waste'],['Statute of Limitations']
323,323,na,na,na,['Mergers'],"['Islamic Law', 'Customary Law']","['Foreign Corporations', 'Money Laundering']",['Titles'],['Disability Law'],['Reproduction']
324,324,na,na,na,['Child Neglect'],['Scholarships'],['Precedents'],"['Rule Against Perpetuities', 'Asset Protection Trusts', 'Gifts']",['Habeas Corpus'],['Uniform Probate Code']
325,325,na,na,na,['Marketing'],['Prisoners'],['Social Welfare Law'],['Homosexuality'],['Criminology'],['Judicial Review']
326,326,na,na,na,['Solar Energy'],['Artificial Insemination'],['Judicial Review'],['Criminology'],['Asylum'],['European Commission']
327,327,na,na,na,['Criminology'],['Public Utilities Law'],['Peacekeeping Forces'],['Expert Witnesses'],['Peacekeeping Forces'],['Capital Punishment']
328,328,na,na,na,['Paternity'],"['Beer', 'Wrongful Death', 'Death']","['Judicial Discretion', 'Maintenance', 'Redistricting', 'Punishment', 'Municipalities', 'Unfair Trade Practices', 'Statutes of Repose', 'War Powers', 'Court Opinions', 'Bills', 'Scientific Research', 'Pardons', 'Legal Positivism', 'Commercial Arbitration', 'Constitutional Amendment', 'Proxies', 'African Union', 'Railroads', 'Second Amendment', 'Federal Courts', 'Administrative Agencies', 'Reapportionment', 'Affirmative Action', 'Estoppel', 'Political Science', 'Rule of Law']","['Criminal Intent', 'Natural Law', 'Philosophy']",['Statute of Limitations'],['Right to Privacy']
329,329,na,na,na,"['Eminent Domain', 'Videotapes', 'Fees', 'Environmental Justice', 'Legal Representation']",['Gas and Mineral'],"['Hijacking', 'Genetics', 'Counterfeiting', 'International Criminal Law']",['Bullying'],"['Interpreters', 'Right to Education', 'Recusal', 'Admiralty']",['Environmental Policy']
330,330,na,na,na,"['Separation of Powers', 'Labor-Management Relations', 'Separation']","['High School', 'Subpoenas', 'Confidentiality']",['Gaming'],['Genetic Information'],['Defenses'],['Religious Freedom']
331,331,na,na,na,['No-Fault'],"['Freedom of Religion', 'Penology']","['Private Schools', 'Sexuality and the Law']",['Pollution'],['Pensions'],"['Primaries', 'Uniform Trade Secrets Act', 'Background Checks']"
332,332,na,na,na,"['Liquor', 'Legal Literature']","['Mentally Retarded', 'Mentally Disabled']","['Alcoholic Beverages', 'Drug Testing']",['Liability Insurance'],['Precedents'],['Titles']
333,333,na,na,na,"['Legal Research', 'Legal Writing', 'Schools', 'Dogs', 'Continuing Legal Education', 'Lynching', 'Discrimination in Athletics', 'Legal Education']",['Foreign Aid'],['Culture and Law'],['Reproduction'],"['Racial Discrimination', 'Elder Law', 'Plaintiffs', 'Injunctions', 'Democracy', 'Judicial Process', 'Obscenity', 'Redistricting', 'Judiciary', 'Judges', 'Violence', 'Misdemeanors', 'Nuclear Waste', 'Appellate Review', 'Boycotts', 'Desegregation', 'Lobbying', 'Politics', 'Congress', 'Employment Practice', 'Scientific Research', 'Public Education', 'Academic Freedom', 'Schools', 'Legal Ethics', 'Public Utilities']","['Reciprocity', 'Environmental Protection']"
334,334,na,na,na,"[""Patients' Rights"", 'Indigents', 'Mental Health']",['Power Plants'],['Diplomacy'],['Asylum'],['Surrogate Parenthood'],"['Partnerships', 'Mistake', 'Inheritance']"
335,335,na,na,na,"['Telecommunications', 'Motor Vehicles', 'Passengers', 'Aviation', 'Managed Care', 'Self-Incrimination', 'Searches and Seizures', 'Exclusionary Rule', 'Traffic Laws', 'Drug Testing']",['Disaster Law'],['Solar Energy'],"['Habeas Corpus', 'Governors']",['Plagiarism'],['Interpretation and Construction']
336,336,na,na,na,"['Jury Instructions', 'Remedies']","['Military Tribunals', 'Holocaust', 'War Crimes', 'Executive Powers', 'Accomplices', 'Vested Rights', 'Crimes Against Humanity', 'Military', 'Admiralty Law', 'Comparative and Foreign Law', 'Government Liability', 'Torture']",['Experts'],['Investigations'],['Homosexuality'],['Air and Space Law']
337,337,na,na,na,"['Trade Secrets', 'Uniform Commercial Code', 'Restitution']",['Duress'],['Settlements'],['Paternity'],['Private International Law'],['Real Estate']
