,First Name,Last Name,School,Fuzz 1,Fuzz 2,Fuzz 3,Name 1,Name 2,Name 3,School 1,School 2,School 3
307,Edith,Ho,San Francisco ,60,60,57,Keith Hylton,Judith Koons,Elizabeth Joh,Boston University School of Law,Barry University Dwayne O. Andreas School of Law,"University of California, Davis, School of Law"
308,Jeremiah A,Ho,Mass. Dartmouth ,52,52,50,N. Jeremi Duru,Jedediah Purdy,Meredith Conway,"American University, Washington College of Law",Columbia Law School,Suffolk University Law School
309,Steven H.,Hobbs,Alabama ,64,62,60,Steven Harris,Stephen Holmes,Steven Johansen,"Chicago-Kent College of Law, Illinois Institute of Technology",New York University School of Law,Lewis and Clark Law School
310,Gilbert A.,Holmes,La Verne ,76,55,55,Gilbert Cole,Robert Howse,Elbert Robertson,Notre Dame Law School,New York University School of Law,Suffolk University Law School
311,Kimberly Y.W.,Holst,Ariz. stale ,63,63,61,Kimberly Yuracko,Kimberly Yuracko,Kimberly Robinson,Northwestern University Pritzker School of Law,Northwestern University Pritzker School of Law,University of Virginia School of Law
312,Emily M.S.,Houh,Cincinnati ,80,67,58,Emily Houh,Emily Hughes,Emily Ryo,University of Cincinnati College of Law,University of Iowa College of Law,University of Southern California Gould School of Law
313,Derrick,Howard,Valparaiso ,71,62,57,Derrick Carter,Margaret Howard,Maureen Howard,Valparaiso University Law School,Washington and Lee University School of Law,University of Washington School of Law
314,Roman J.,Hoyos,Southwestern ,88,58,56,Roman Hoyos,Thomas Joo,Rosa Brooks,Southwestern Law School,"University of California, Davis, School of Law",Georgetown University Law Center
315,Shi-Ling,Hsu,Fla. state ,100,60,55,Shi-Ling Hsu,Shine Tu,Shani King,Florida State University College of Law,West Virginia University College of Law,University of Florida Fredric G. Levin College of Law
316,Robert H.,Hu,St. Mary's ,70,70,67,Robert Lutz,Robert Bush,Robert Howse,Southwestern Law School,Maurice A. Deane School of Law at Hofstra University,New York University School of Law
317,Peter H.,Huang,Colorado ,88,67,64,Peter Huang,Bert Huang,Peter Yu,University of Colorado Law School,Columbia Law School,Texas A&M University School of Law
318,James B. Jr.,Hughes,Emory ,77,62,60,James Hughes,James Brudney,James Hines,Emory University School of Law,Fordham University School of Law,The University of Michigan Law School
319,Joyce A.,Hughes,Northwestern ,89,89,67,Joyce Hughes,Joyce Hughes,James Hughes,Northwestern University Pritzker School of Law,Northwestern University Pritzker School of Law,Emory University School of Law
320,Richard E.,Humphrey,Ind. McKinney,73,67,65,Richard Murphy,Richard Squire,Richard Pomp,Texas Tech University School of Law,Fordham University School of Law,University of Connecticut School of Law
321,Cecil J.,Hunt II,II. John Marshall ,44,44,43,"L. O. Natt Gantt, II",Clare Huntington,David Hunter,Regent University School of Law,Fordham University School of Law,"American University, Washington College of Law"
322,Darren Lenard,Hutchinson,Univ. of Florida ,83,73,58,Darren Hutchinson,Dennis Hutchinson,Daryl Levinson,University of Florida Fredric G. Levin College of Law,"The University of Chicago, The Law School",New York University School of Law
323,Keith Norman,Hylton,Boston Univ. ,77,58,58,Keith Hylton,Maria Hylton,Keith Werhan,Boston University School of Law,Boston University School of Law,Tulane University Law School
324,Maria O’Brien,Hylton,Boston Univ. ,75,63,57,Maria Hylton,Margaret Dalton,Martin Brinkley,Boston University School of Law,University of San Diego School of Law,University of North Carolina School of Law
325,Nicole,lannarone,Georgia state ,73,62,61,Nicole Garnett,Nicola Sharpe,Michele Alexandre,Notre Dame Law School,University of Illinois College of Law,University of Mississippi School of Law
326,Anthony C.,Ikwueme,Liberty ,67,65,65,Anthony Cook,Anthony Chase,Anthony Casey,Georgetown University Law Center,University of Houston Law Center,"The University of Chicago, The Law School"
327,John,Inazu,Wash. St. Louis,100,64,64,John Inazu,John Monahan,John Banzhaf,Washington University in St. Louis School of Law,University of Virginia School of Law,The George Washington University Law School
328,Joseph M.,Isanga,Concordia ,62,62,62,Joseph Tomain,Joseph Raz,Joseph Franco,University of Cincinnati College of Law,Columbia Law School,Suffolk University Law School
329,Darrell D.,Jackson,Wyoming ,61,60,60,Suzanne Jackson,Howell Edmunds Jackson,Howell Edmunds Jackson,The George Washington University Law School,Harvard Law School,Harvard Law School
330,Janet Thompson,Jackson,Washburn ,59,59,59,Suzanne Jackson,Sandra Thompson,Robert Thompson,The George Washington University Law School,University of Houston Law Center,Georgetown University Law Center
331,Cheyanna,Jaffke,Western state ,56,52,50,Lynn Baker,Regina Jefferson,Susannah Tahk,The University of Texas School of Law,"The Catholic University of America, Columbus School of Law",University of Wisconsin Law School
332,Bernard,James,Pepperdine ,72,72,72,Bernard Chao,Bernard Bell,Bernard Bell,University of Denver Sturm College of Law,Rutgers Law School,Rutgers Law School
333,Michael C.,James,Texas Southern ,73,73,73,Michael Ramsey,Michael Jacobs,Michael Frakes,University of San Diego School of Law,DePaul University College of Law,Duke University School of Law
334,Osamudia R.,James,Miami ,90,55,50,Osamudia James,Vaughn James,Radhika Rao,University of Miami School of Law,Texas Tech University School of Law,"University of California, Hastings College of the Law"
335,Regina Ramsey,James,Southern Univ. ,60,57,55,Lisa Ramsey,Regina Jefferson,Michael Ramsey,University of San Diego School of Law,"The Catholic University of America, Columbus School of Law",University of San Diego School of Law
336,Regina T.,Jefferson,Cath. Univ. ,91,59,59,Regina Jefferson,Jamila Jefferson-Jones,Jamila Jefferson-Jones,"The Catholic University of America, Columbus School of Law",University of Missouri-Kansas City School of Law,University of Missouri-Kansas City School of Law
337,Jalila,Jefferson-Bullock,Duquesne ,74,74,60,Jamila Jefferson-Jones,Jamila Jefferson-Jones,Regina Jefferson,University of Missouri-Kansas City School of Law,University of Missouri-Kansas City School of Law,"The Catholic University of America, Columbus School of Law"
338,Jamila,Jefferson-Jones,Mo.-Kan. City ,100,100,63,Jamila Jefferson-Jones,Jamila Jefferson-Jones,Regina Jefferson,University of Missouri-Kansas City School of Law,University of Missouri-Kansas City School of Law,"The Catholic University of America, Columbus School of Law"
339,Garry W.,Jenkins,Minnesota ,90,90,57,Garry Jenkins,Garry Jenkins,Marley Weiss,University of Minnesota Law School,University of Minnesota Law School,University of Maryland Francis King Carey School of Law
340,Sarah Howard,Jenkins,Ark. Little Rock,73,67,67,Sarah Harding,Garry Jenkins,Garry Jenkins,"Chicago-Kent College of Law, Illinois Institute of Technology",University of Minnesota Law School,University of Minnesota Law School
341,Dalie,Jimenez,Cal. Irvine,85,67,61,Dalié Jiménez,David Pimentel,Dale Nance,"University of California, Irvine School of Law",University of Idaho College of Law,Case Western Reserve University School of Law
342,Irene,Joe,UC Davis,73,70,64,Irene Johnson,Renee Jones,Irene Calboli,Pace University Elisabeth Haub School of Law,Boston College Law School,Texas A&M University School of Law
343,Conrad,Johnson,Columbia ,79,79,79,Creola Johnson,Craig Johnston,Andrea Johnson,"The Ohio State University, Michael E. Moritz College of Law",Lewis and Clark Law School,University of Akron School of Law
344,Danne L.,Johnson,Oklahoma City ,71,71,69,Dawn Johnsen,Dawn Johnsen,Stanley Johanson,Indiana University Maurer School of Law,Indiana University Maurer School of Law,The University of Texas School of Law
345,George Robert Jr.,Johnson,Elon ,59,58,56,Elbert Robertson,Irene Johnson,Robert Jackson,Suffolk University Law School,Pace University Elisabeth Haub School of Law,New York University School of Law
346,Olatunde C.,Johnson,Columbia ,91,67,65,Olatunde Johnson,Andrea Johnson,Alex Johnson,Columbia Law School,University of Akron School of Law,University of Virginia School of Law
347,Randall K.,Johnson,Mississippi Coll. ,69,67,67,Andrea Johnson,Randall Roth,Randall Kennedy,University of Akron School of Law,"University of Hawaii, William S. Richardson School of Law",Harvard Law School
348,Shontavia,Johnson,Drake ,100,73,73,Shontavia Johnson,Steve Johnson,Sheri Johnson,Drake University Law School,Florida State University College of Law,Cornell Law School
349,Amos,Jones,Campbell ,67,61,61,Susan Jones,RonNell Jones,Carolyn Jones,The George Washington University Law School,"University of Utah, S. J. Quinney College of Law",University of Iowa College of Law
350,Cynthia,Jones,American ,100,79,77,Cynthia Jones,Cynthia Starnes,Cynthia Alkon,"American University, Washington College of Law",Michigan State University College of Law,Texas A&M University School of Law
351,Jeffrey D.,Jones,Lewis & Clark ,90,69,69,Jeffrey Jones,Jeffrey Rosen,Jeffrey Manns,Lewis and Clark Law School,The George Washington University Law School,The George Washington University Law School
352,Renee M.,Jones,Boston Coll. ,88,67,67,Renee Jones,RonNell Jones,Renee Landers,Boston College Law School,"University of Utah, S. J. Quinney College of Law",Suffolk University Law School
353,Robert L.,Jones,Northern Illinois ,77,71,71,Robert Bone,Robert Sloane,Robert Flores,The University of Texas School of Law,Boston University School of Law,"University of Utah, S. J. Quinney College of Law"
354,Russell L.,Jones,Southern Univ. ,69,69,67,Russell Robinson,RonNell Jones,Russell Powell,"University of California, Berkeley School of Law","University of Utah, S. J. Quinney College of Law",Seattle University School of Law
355,Susan R.,Jones,George Washington ,88,75,69,Susan Jones,Susan Ross,Susan Bandes,The George Washington University Law School,Georgetown University Law Center,DePaul University College of Law
356,Yolanda,Jones,Florida A&M ,69,67,67,Carolyn Jones,Trina Jones,Susan Jones,University of Iowa College of Law,Duke University School of Law,The George Washington University Law School
357,Thomas W.,Joo,UC Davis,87,67,67,Thomas Joo,Thomas Mayo,Thomas Lyon,"University of California, Davis, School of Law","Southern Methodist University, Dedman School of Law",University of Southern California Gould School of Law
358,Irving L.,Joyner,North Car. Central ,59,59,58,Trina Jones,Craig Joyce,D. Marvin Jones,Duke University School of Law,University of Houston Law Center,University of Miami School of Law
359,Jose R.,Juarez,Denver ,88,69,67,Jose Juarez,Jose Alvarez,Joseph Raz,University of Denver Sturm College of Law,New York University School of Law,Columbia Law School
360,Anil,Kalhan,Drexel ,67,64,64,Lily Kahng,Daniel Klerman,Anup Malani,Seattle University School of Law,University of Southern California Gould School of Law,"The University of Chicago, The Law School"
361,Jean-Marie,Kamatali,Ohio Northern ,56,56,56,Jean-Marc Coicaud,Jean-Marc Coicaud,Diane Marie Amann,Rutgers Law School,Rutgers Law School,University of Georgia School of Law
362,Samuel,Kan,Barry ,78,76,76,Samuel Jordan,Samuel Bray,Samuel Bray,Saint Louis University School of Law,"University of California, Los Angeles School of Law",Notre Dame Law School
363,Helen H.,Kang,Golden Gate ,67,58,56,Helen De Haven,Peter Huang,Michael Kang,Atlanta's John Marshall Law School,University of Colorado Law School,Northwestern University Pritzker School of Law
364,Michael S.,Kang,Northwestern ,89,89,81,Michael Kang,Michael Kang,Michael Lang,Northwestern University Pritzker School of Law,Northwestern University Pritzker School of Law,Chapman University Dale E. Fowler School of Law
365,Joy,Kanwar,Brooklyn ,63,63,60,John Kang,Jay Kesan,Jody Kraus,St. Thomas University School of Law,University of Illinois College of Law,Columbia Law School
366,Alexis,Karteron,Rutgers ,65,65,64,Dennis Patterson,Dennis Patterson,Alex Stein,Rutgers Law School,Rutgers Law School,Benjamin N. Cardozo School of Law
367,Sonia K.,Katyal,UC Berkeley,89,62,54,Sonia Katyal,Neal Katyal,Sonia Suter,"University of California, Berkeley School of Law",Georgetown University Law Center,The George Washington University Law School
368,Sherri Lee,Keene,Maryland ,58,58,56,Gerrit De Geest,Catherine Klein,Terri Lynn Helge,Washington University in St. Louis School of Law,"The Catholic University of America, Columbus School of Law",Texas A&M University School of Law
369,Latonia Haney,Keith,Concordia ,59,55,53,Ian Haney Lopez,Janine Kim,Patricia Hansen,"University of California, Berkeley School of Law",Chapman University Dale E. Fowler School of Law,The University of Texas School of Law
370,Michael J.,Kelly,Creighton ,90,90,90,Michael Kelly,Michael Kelly,Michael Kelly,University of San Diego School of Law,Creighton University School of Law,Creighton University School of Law
371,Randall L.,Kennedy,Harvard ,91,91,65,Randall Kennedy,Randall Kennedy,David Kennedy,Harvard Law School,Harvard Law School,Harvard Law School
372,Jay,Kesan,Illinois ,100,84,70,Jay Kesan,Jay Kesten,Jay Feinman,University of Illinois College of Law,Florida State University College of Law,Rutgers Law School
373,Catherine Y.,Kim,Univ. of North Car. ,77,73,71,Catherine Klein,Catherine Fisk,Catherine Smith,"The Catholic University of America, Columbus School of Law","University of California, Berkeley School of Law",University of Denver Sturm College of Law
374,Eugene Y.,Kim,San Francisco ,58,58,58,Suzanne Kim,Suzanne Kim,Pauline Kim,Rutgers Law School,Rutgers Law School,Washington University in St. Louis School of Law
375,Pauline T.,Kim,Wash. St. Louis,88,67,56,Pauline Kim,Janine Kim,Suzanne Kim,Washington University in St. Louis School of Law,Chapman University Dale E. Fowler School of Law,Rutgers Law School
376,Rosa,Kim,Suffolk ,59,56,55,Roza Pati,Janine Kim,Roberta Karmel,St. Thomas University School of Law,Chapman University Dale E. Fowler School of Law,Brooklyn Law School
377,Sung Eun (Summer),Kim,Cal Irvine,61,56,56,Sung Hui Kim,Suzanne Kim,Suzanne Kim,"University of California, Los Angeles School of Law",Rutgers Law School,Rutgers Law School
378,Sung Hui,Kim,U.C.L.A. ,100,61,61,Sung Hui Kim,Suzanne Kim,Suzanne Kim,"University of California, Los Angeles School of Law",Rutgers Law School,Rutgers Law School
379,Suzanne A.,Kim,Rutgers ,88,88,67,Suzanne Kim,Suzanne Kim,Janine Kim,Rutgers Law School,Rutgers Law School,Chapman University Dale E. Fowler School of Law
380,Young Ran (Christine),Kim,Utah ,60,59,59,Christine Klein,Christine Cimini,Christine Cimini,University of Florida Fredric G. Levin College of Law,University of Washington School of Law,University of Washington School of Law
381,Dennis,Kim-Prieto,Rutgers ,100,100,61,Dennis Kim-Prieto,Dennis Kim-Prieto,Dennis Patterson,Rutgers Law School,Rutgers Law School,Rutgers Law School
382,Dwight B.,King,Jr.. Notre Dame ,59,59,52,Dwight Golann,Dwight Aarons,John King,Suffolk University Law School,University of Tennessee College of Law,Washington and Lee University School of Law
383,Patricia A.,King,Georgetown ,71,67,67,Patricia Wilson,Patricia Bryan,Patricia Bryan,Baylor University School of Law,University of North Carolina School of Law,University of North Carolina School of Law
384,Yolanda M.,King,Northern Illinois ,58,56,56,John King,Shani King,Nancy King,Washington and Lee University School of Law,University of Florida Fredric G. Levin College of Law,Vanderbilt University Law School
385,Jessica M.,Kiser,Gonzaga ,76,71,67,Jessica Wimer,Jessica Berg,Jessica Mantel,"University of California, Irvine School of Law",Case Western Reserve University School of Law,University of Houston Law Center
386,Harold Hongju,Koh,Yale ,57,57,55,Jarrod Wong,Jarrod Wong,Harold Lloyd,"University of the Pacific, McGeorge School of Law","University of the Pacific, McGeorge School of Law",Wake Forest University School of Law
387,Jennifer L,Koh,Western state ,73,73,71,Jennifer Rothman,Jennifer Johnson,Jennifer Gross,"Loyola Law School, Los Angeles",Lewis and Clark Law School,"University of Nevada, Las Vegas, William S. Boyd School of Law"
388,Gowri J.,Krishna,NYLS ,56,56,53,Jayanth Krishnan,Jayanth Krishnan,Gowri Ramachandran,Indiana University Maurer School of Law,Indiana University Maurer School of Law,Southwestern Law School
389,Anita S.,Krishnakumar,St. John's ,58,54,54,Anita Krug,Jayanth Krishnan,Anita Ramasastry,"Chicago-Kent College of Law, Illinois Institute of Technology",Indiana University Maurer School of Law,University of Washington School of Law
390,Elizabeth A.,Kronk Warner,Kansas ,68,64,63,Elizabeth Carter,Elizabeth Thornburg,Elizabeth Cooper,"Louisiana State University, Paul M. Hebert Law Center","Southern Methodist University, Dedman School of Law",Fordham University School of Law
391,Sapna,Kumar,Houston Law Cntr. ,100,61,57,Sapna Kumar,Susan Stuart,Sean Pager,University of Houston Law Center,Valparaiso University Law School,Michigan State University College of Law
392,Susan S.,Kuo,South Carolina ,70,67,67,Susan Sturm,Susan Stuart,Susan Salmon,Columbia Law School,Valparaiso University Law School,The University of Arizona James E. Rogers College of Law
393,Angela Mae,Kupenda,Mississippi Coll. ,65,62,61,Angel Oquendo,Mae Kuykendall,Angela Carmella,University of Connecticut School of Law,Michigan State University College of Law,Seton Hall University School of Law
394,Hiroko,Kusuda,Loyola New Orl.,50,48,48,Ricardo Bascuas,Mark Sundahl,Hiroshi Motomura,University of Miami School of Law,Cleveland-Marshall College of Law at Cleveland State University,"University of California, Los Angeles School of Law"
395,Faisal,Kutty,Valparaiso ,61,55,55,Lisa Pruitt,Lisa Kelly,Fazal Khan,"University of California, Davis, School of Law",University of Washington School of Law,University of Georgia School of Law
396,James,Kwak,Connecticut ,100,80,76,James Kwak,James Park,James Baker,University of Connecticut School of Law,"University of California, Los Angeles School of Law",Syracuse University College of Law
397,Annie,Lai,Cal Irvine,100,70,70,Annie Lai,Anne Lawton,Anne Dailey,"University of California, Irvine School of Law",Michigan State University College of Law,University of Connecticut School of Law
398,Maximo,Langer,U.C.L.A. ,100,64,64,Maximo Langer,Margo Schlanger,Carol Sanger,"University of California, Los Angeles School of Law",The University of Michigan Law School,Columbia Law School
399,Lundy R.,Langston,Florida A&M ,56,53,53,E. Lea Johnston,Louis Raveson,Lindsay Robertson,University of Florida Fredric G. Levin College of Law,Rutgers Law School,University of Oklahoma College of Law
400,Marina L,Lao,Seton Hall ,91,62,62,Marina Lao,Marin Scordato,Katerina Linos,Seton Hall University School of Law,"The Catholic University of America, Columbus School of Law","University of California, Berkeley School of Law"
401,Rogelio A.,Lasso,John Marshall ,53,52,50,Robert Lawless,Leslie Abramson,George Annas,University of Illinois College of Law,"University of Louisville, Louis D. Brandeis School of Law",Boston University School of Law
402,Mark A.,Latham,Vermont ,88,67,56,Mark Latham,Mark Adams,Mark Ascher,Vermont Law School,University of Idaho College of Law,The University of Texas School of Law
403,Inga N.,Laurent,Gonzaga ,55,54,50,Anna Carpenter,Gina Warren,Ingrid Wuerth,The University of Tulsa College of Law,University of Houston Law Center,Vanderbilt University Law School
404,David S. Wash.,Law,St Louis ,67,58,57,David Law,David Strauss,David Dana,"University of California, Irvine School of Law","The University of Chicago, The Law School",Northwestern University Pritzker School of Law
405,Charles R.. Ill,Lawrence,Hawaii ,80,65,60,Charles Lawrence,Michael Lawrence,Charles Sullivan,"University of Hawaii, William S. Richardson School of Law",Michigan State University College of Law,Seton Hall University School of Law
406,Julie D.,Lawton,DePaul ,64,62,62,Julie Roin,Julie Cohen,Anne Lawton,"The University of Chicago, The Law School",Georgetown University Law Center,Michigan State University College of Law
407,Avery,Le,Emory ,67,60,59,Avery Katz,Evelyn Lewis,Peter Lee,Columbia Law School,"University of California, Davis, School of Law","University of California, Davis, School of Law"
408,Stephen J.,Leacock,Barry ,91,69,67,Stephen Leacock,Stephen Lee,Stephen Vladeck,Barry University Dwayne O. Andreas School of Law,"University of California, Irvine School of Law",The University of Texas School of Law
409,Brant T.,Lee,Akron ,86,67,60,Brant Lee,Brian Leiter,Evan Lee,University of Akron School of Law,"The University of Chicago, The Law School","University of California, Hastings College of the Law"
410,Cynthia,Lee,George Washington ,100,75,70,Cynthia Lee,Cynthia Jones,Cynthia Ward,The George Washington University Law School,"American University, Washington College of Law",William & Mary Law School
411,Eumi K.,Lee,UC Hastings,59,53,52,G. Lee,Evan Lee,K. Lee Adams,Widener University Commonwealth Law School,"University of California, Hastings College of the Law",Atlanta's John Marshall Law School
412,Grace S.,Lee,Alabama ,67,67,58,Grace Giesel,G. Lee,Grace Tonner,"University of Louisville, Louis D. Brandeis School of Law",Widener University Commonwealth Law School,"University of California, Irvine School of Law"
413,Kevin P.,Lee,Campbell ,64,64,61,Kevin Lapp,Kevin Cole,Kevin Reitz,"Loyola Law School, Los Angeles",University of San Diego School of Law,University of Minnesota Law School
414,Patricia Hureston,Lee,St. Louis ,67,67,63,Patricia Wilson,Patricia Hansen,Patricia Cervenka,Baylor University School of Law,The University of Texas School of Law,Marquette University Law School
415,Peter,Lee,UC Davis ,100,76,76,Peter Lee,Peter Meyers,Peter Menell,"University of California, Davis, School of Law",The George Washington University Law School,"University of California, Berkeley School of Law"
416,Philip,Lee,Dist. of Columbia ,82,78,70,Philip Meyer,Philip Weiser,Philip Harvey,Vermont Law School,University of Colorado Law School,Rutgers Law School
417,Rebecca K.,Lee,Thomas Jefferson ,67,67,67,Rebecca White,Rebecca Kysar,Rebecca Blemberg,University of Georgia School of Law,Fordham University School of Law,Marquette University Law School
418,Robin A.,Lenhardt,Fordham ,90,62,60,Robin Lenhardt,Robin Kar,Robin Charlow,Fordham University School of Law,University of Illinois College of Law,Maurice A. Deane School of Law at Hofstra University
419,Nancy,Leong,Denver ,100,76,73,Nancy Leong,Nancy King,Nancy Levit,University of Denver Sturm College of Law,Vanderbilt University Law School,University of Missouri-Kansas City School of Law
420,Kevin O,Leske,Barry ,67,64,64,Kevin Ruser,Kevin Outterson,Kevin Ashley,University of Nebraska College of Law,Boston University School of Law,University of Pittsburgh School of Law
421,Sylvia,Lett,Univ. of Ariz. ,70,57,56,Sylvia Lazos,Sophia Lee,Gillian Lester,"University of Nevada, Las Vegas, William S. Boyd School of Law",University of Pennsylvania Law School,Columbia Law School
422,Browne C.,Lewis,Cleve.-Marshall ,89,57,56,Browne Lewis,Jeffrey Lewis,Edith Brown Weiss,Cleveland-Marshall College of Law at Cleveland State University,Saint Louis University School of Law,Georgetown University Law Center
423,Evelyn A.,Lewis,UC Davis,89,67,57,Evelyn Lewis,Evelyn Aswad,Jeffrey Lewis,"University of California, Davis, School of Law",University of Oklahoma College of Law,Saint Louis University School of Law
424,Myrisha,Lewis,Howard ,67,62,57,Margaret Lewis,Michael Heise,Marsha Garrison,Seton Hall University School of Law,Cornell Law School,Brooklyn Law School
425,Shaundra Keilam,Lewis,Texas Southern ,63,57,57,Sandra Zellmer,Sandra Placzek,Margaret Lewis,University of Nebraska College of Law,University of Nebraska College of Law,Seton Hall University School of Law
426,Tracey McCants,Lewis,Duquesne ,61,59,56,Tracey Maclin,Margaret Lewis,Evelyn Lewis,Boston University School of Law,Seton Hall University School of Law,"University of California, Davis, School of Law"
427,Albert C.,Lin,UC Davis,87,75,67,Albert Lin,Albert Choi,Robert Lind,"University of California, Davis, School of Law",University of Virginia School of Law,Southwestern Law School
428,Edward J.,Littlejohn,Wayne state ,62,62,60,Edward Stein,Edward Stein,Edward Lee,Benjamin N. Cardozo School of Law,Benjamin N. Cardozo School of Law,"Chicago-Kent College of Law, Illinois Institute of Technology"
429,Joseph P.,Liu,Boston Coll. ,87,67,65,Joseph Liu,Joseph Thai,Joseph H.H. Weiler,Boston College Law School,University of Oklahoma College of Law,New York University School of Law
430,Gerald,Lopez,U.C.L.A. ,72,72,70,Gerald Torres,Gerald Powell,David Lopez,Cornell Law School,Baylor University School of Law,Rutgers Law School
431,Eleanor,Lumsden,Golden Gate ,64,64,62,Eleanor Myers,Eleanor Brown,Eleanor Fox,"Temple University, James E. Beasley School of Law",The George Washington University Law School,New York University School of Law
432,Erik,Luna,Ariz. state ,67,61,60,Eric Lane,Erik Lillquist,Erik Jensen,Maurice A. Deane School of Law at Hofstra University,Seton Hall University School of Law,Case Western Reserve University School of Law
433,Steven J.,Macias,Southern Illinois ,69,65,62,Steven Harris,Steven Johansen,Steven Calabresi,"Chicago-Kent College of Law, Illinois Institute of Technology",Lewis and Clark Law School,Northwestern University Pritzker School of Law
434,Kenneth W.,Mack,Harvard ,89,89,64,Kenneth Mack,Kenneth Mack,Kenneth Starr,Harvard Law School,Harvard Law School,Baylor University School of Law
435,Tracey,Maclin,Boston Univ. ,100,64,62,Tracey Maclin,Lance McMillian,Tracy Higgins,Boston University School of Law,Atlanta's John Marshall Law School,Fordham University School of Law
436,Rhonda,Magee,San Francisco ,100,64,61,Rhonda Magee,Rhonda Wasserman,Ronald Mann,University of San Francisco School of Law,University of Pittsburgh School of Law,Columbia Law School
437,Gwendolyn,Majette,Cleve.-Marshall ,100,56,53,Gwendolyn Majette,Brandon Garrett,Randy Barnett,Cleveland-Marshall College of Law at Cleveland State University,Duke University School of Law,Georgetown University Law Center
438,Medha D,Makhlouf,Penn state Dickinson ,53,53,50,Michael Malloy,Michael Malloy,Michael Dorf,"University of the Pacific, McGeorge School of Law","University of the Pacific, McGeorge School of Law",Cornell Law School
439,Tiyanjana,Maluwa,Penn state Law ,52,52,52,Tanya Marsh,Miranda McGowan,Diana Sclar,Wake Forest University School of Law,University of San Diego School of Law,Rutgers Law School
440,Mohsen,Manesh,Oregon ,62,62,61,John Matheson,John Matheson,John Leshy,University of Minnesota Law School,University of Minnesota Law School,"University of California, Hastings College of the Law"
441,Maya,Manian,San Francisco ,100,64,64,Maya Manian,Sara Rankin,Mary Natkin,University of San Francisco School of Law,Seattle University School of Law,Washington and Lee University School of Law
442,Sammy M.,Mansour,Michigan ,57,50,50,Amy Mashburn,Stanley Johanson,Nancy Maurer,University of Florida Fredric G. Levin College of Law,The University of Texas School of Law,Albany Law School
443,Yuri,Mantilla,Liberty ,62,58,56,Laurie Malman,Eric Miller,Mari Matsuda,New York University School of Law,"Loyola Law School, Los Angeles","University of Hawaii, William S. Richardson School of Law"
444,Terry A.,Maroney,Vanderbilt ,90,67,67,Terry Maroney,Terry Anderson,Terry Anderson,Vanderbilt University Law School,Creighton University School of Law,Creighton University School of Law
445,Jenny S.,Martinez,Stanford ,71,69,69,Jena Martin,Leo Martinez,Jennifer Martin,West Virginia University College of Law,"University of California, Hastings College of the Law",St. Thomas University School of Law
446,Jose L.,Martinez,New Mexico ,71,71,67,Leo Martinez,George Martinez,Jena Martin,"University of California, Hastings College of the Law","Southern Methodist University, Dedman School of Law",West Virginia University College of Law
447,Leo P.,Martinez,UC Hastings,89,73,69,Leo Martinez,George Martinez,Veronica Martinez,"University of California, Hastings College of the Law","Southern Methodist University, Dedman School of Law",Notre Dame Law School
448,Elena M.,Marty-Nelson,Nova Southeastern ,61,57,56,Elena Baylis,Leonard Nelson,Elana Olson,University of Pittsburgh School of Law,"Samford University, Cumberland School of Law",Marquette University Law School
449,Manoj,Mate,Harvard ,61,61,60,Jean Mattimoe,Dayna Matthew,Ugo Mattei,University of Idaho College of Law,University of Virginia School of Law,"University of California, Hastings College of the Law"
450,Mari J.,Matsuda,Hawaii ,89,59,56,Mari Matsuda,Maria Marcus,Mark Janis,"University of Hawaii, William S. Richardson School of Law",Fordham University School of Law,University of Connecticut School of Law
451,Kaiponanea,Matsumura,Ariz. state ,59,56,52,Jonathan Masur,Mari Matsuda,Sapna Kumar,"The University of Chicago, The Law School","University of Hawaii, William S. Richardson School of Law",University of Houston Law Center
452,Daniel M.,Mayeda,U.C.L.A. ,64,64,62,Daniel Crane,Daniel Capra,Daniel Mandelker,The University of Michigan Law School,Fordham University School of Law,Washington University in St. Louis School of Law
453,Lloyd Hitoshi,Mayer,Notre Dame ,73,52,52,Lloyd Mayer,Linda Fisher,Connie Mayer,Notre Dame Law School,Seton Hall University School of Law,Albany Law School
454,Goldbum P,Maynard,Jr Louisville,52,50,50,Gerald Leonard,Ronald Mann,Lloyd Mayer,Boston University School of Law,Columbia Law School,Notre Dame Law School
455,Susan,Maze-Rothstein,Northeastern ,69,65,65,Laura Rothstein,Susan Morse,Paul Rothstein,"University of Louisville, Louis D. Brandeis School of Law",The University of Texas School of Law,Georgetown University Law Center
456,Russell A.,McClain,Maryland ,62,61,59,Russell Miller,Russell Gabriel,Russell Robinson,Washington and Lee University School of Law,University of Georgia School of Law,"University of California, Berkeley School of Law"
457,Harold A.,McDougall,Ill Howard,52,50,48,Harold Lloyd,Carol Collins,Holly Maguigan,Wake Forest University School of Law,University of Tennessee College of Law,New York University School of Law
458,Audrey G.,McFarlane,Baltimore ,56,55,53,Laurie Malman,Andrew Perlman,Andrew Blair-Stanek,New York University School of Law,Suffolk University Law School,University of Maryland Francis King Carey School of Law
459,Karla M.,McKanders,Vanderbilt ,91,60,56,Karla McKanders,Karl Manheim,Carol Anderson,Vanderbilt University Law School,"Loyola Law School, Los Angeles",Wake Forest University School of Law
460,Estelle,McKee,Cornell ,64,58,55,Ellen Yee,Elizabeth McKenzie,Melody MacKenzie,Drake University Law School,Suffolk University Law School,"University of Hawaii, William S. Richardson School of Law"
