Title,List Author,Author(s),Journal,Journal,Vol,Issue,Pages,BBCite,Cited (articles),Cited (cases),Accessed,Topics,ID
Humanitarian Financial Intervention [article],Evan Criddle,"Criddle, Evan J. (Cited 518 times)","European Journal of International Law, Vol. 24, Issue 2 (2013), pp. 583-616","European Journal of International Law, ",Vol.  24,2 (2013),583-616,Full Text Not Currently Available in HeinOnline,3,na,na,"Humanitarian Law, Sanctions, Human Rights Law, International Law, Jurisdiction, Law Enforcement",3878
"Human Rights, Emergencies, and the Rule of Law [article]",Evan Criddle,"Criddle, Evan J. (Cited 518 times); Fox-Decent, Evan (Cited 172 times)","Human Rights Quarterly, Vol. 34, Issue 1 (February 2012), pp. 39-87","Human Rights Quarterly, ",Vol.  34,1 (February 2012),39-87,34 Hum. Rts. Q. 39 (2012),3,na,78,"Human Rights, Rule of Law, Interest, National Security",3878
Interest-Balancing vs. Fiduciary Duty: Two Models for National Security Law [article],Evan Criddle,"Fox-Decent, Evan (Cited 172 times); Criddle, Evan J. (Cited 518 times)","German Law Journal, Vol. 13, Issue 5 (May 2012), pp. 542-559","German Law Journal, ",Vol.  13,5 (May 2012),542-559,13 German L.J. 542 (2012),2,na,3,"Jurisprudence, Politics, Human Rights Law, International Law, Jurisdiction, Constitutional Law",3878
Customary Constraints on the Use of Force: Article 51 with an American Accent [article],Evan Criddle,"Banks, William C. (Cited 526 times); Criddle, Evan J. (Cited 518 times)","Leiden Journal of International Law, Vol. 29, Issue 1 (March 2016), pp. 67-94","Leiden Journal of International Law, ",Vol.  29,1 (March 2016),67-94,29 LJIL 67 (2016),2,na,14,"National Security, Terrorism, Violence, Treaties, United Nations",3878
Keeping the Promise of Public Fiduciary Theory: A Reply to Leib and Galoob [article],Evan Criddle,"Criddle, Evan J. (Cited 518 times); Fox-Decent, Evan (Cited 172 times)","Yale Law Journal Forum, Vol. 126, pp. 192-215","Yale Law Journal Forum, ",Vol.  126,na,192-215,126 Yale L.J. F. 192 (2016-2017),2,na,8,"Jurisprudence, Politics, Public Law, Interest, National Security",3878
Mandatory Multilateralism [article] *new*,Evan Criddle,"Criddle, Evan J. (Cited 518 times); Fox-Decent, Evan (Cited 172 times)","American Journal of International Law, Vol. 113, Issue 2 (April 2019), pp. 272-325","American Journal of International Law, ",Vol.  113,2 (April 2019),272-325,Full Text Not Currently Available in HeinOnline,na,na,na,"Research, International Law, South Africa",3878
Mending Holes in the Rule of (Administrative) Law [article],Evan Criddle,"Criddle, Evan J. (Cited 518 times)","Northwestern University Law Review Colloquy, Vol. 104, pp. 309-318","Northwestern University Law Review Colloquy, ",Vol.  104,na,309-318,104 Nw. L. Rev. Colloquy 309 (2009-2010),na,na,4,"Administrative Law, Administration Law",3878
Deriving Peremptory Norms from Sovereignty [notes],Evan Criddle,"Criddle, Evan J. (Cited 518 times); Fox-Decent, Evan (Cited 172 times)","American Society of International Law Proceedings, Vol. 103, pp. 71-74","American Society of International Law Proceedings, ",Vol.  103,na,71-74,103 Am. Soc'y Int'l L. Proc. 71 (2009),na,na,na,"Jurisprudence, International Law, Treaties, International Trade, Natural Law",3878
The Emerging Importance of Social Visibility in Defining a Particular Social Group and Its Potential Impact on Asylum Claims Related to Sexual Orientation and Gender [article],Fatma Marouf,"Marouf, Fatma E. (Cited 172 times)","Yale Law & Policy Review, Vol. 27, Issue 1 (Fall 2008), pp. 47-106","Yale Law & Policy Review, ",Vol.  27,1 (Fall 2008),47-106,27 Yale L. & Pol'y Rev. 47 (2008-2009),65,na,80,"Asylum, Gender, Sexual Orientation, Sexuality and the Law, Appeals, Human Rights Law, Immigration Law",3962
Implicit Bias and Immigration Courts [article],Fatma Marouf,"Marouf, Fatma E. (Cited 172 times)","New England Law Review, Vol. 45, Issue 2 (Spring 2011), pp. 417-448","New England Law Review, ",Vol.  45,2 (Spring 2011),417-448,45 New Eng. L. Rev. 417 (2010-2011),30,na,110,"Courts, Civil Rights, Psychiatry and Psychology",3962
Regrouping America: Immigration Policies and the Reduction of Prejudice [article],Fatma Marouf,"Marouf, Fatma E. (Cited 172 times)","Harvard Latino Law Review , Vol. 15, pp. 129-182","Harvard Latino Law Review , ",Vol.  15,na,129-182,15 Harv. Latino L. Rev. 129 (2012),14,na,20,"Aliens, Colleges and Universities, Law and Society, Psychiatry and Psychology, Students, Tuition, Dispute Resolution, Human Rights Law, Politics, Civil Rights",3962
Incompetent But Deportable: The Case for a Right to Mental Competence in Removal Proceedings [article],Fatma Marouf,"Marouf, Fatma E. (Cited 172 times)","Hastings Law Journal, Vol. 65, Issue 4 (May 2014), pp. 929-998","Hastings Law Journal, ",Vol.  65,4 (May 2014),929-998,65 Hastings L.J. 929 (May 2014),13,3,7,"Immigration Law, Psychiatry and Psychology, Due Process, Constitutional Law",3962
Justice on the Fly: The Danger of Errant Deportations [article],Fatma Marouf,"Marouf, Fatma (Cited 172 times); Kagan, Michael (Cited 184 times); Gill, Rebecca (Cited 17 times)","Ohio State Law Journal, Vol. 75, Issue 2 (2014), pp. 337-404","Ohio State Law Journal, ",Vol.  75,2 (2014),337-404,75 Ohio St. L.J. 337 (2014),11,na,3,"Courts, Immigration Law, Appeals, Practice and Procedure, Congress, States",3962
The Role of Foreign Authorities in U.S. Asylum Adjudication [article],Fatma Marouf,"Marouf, Fatma E. (Cited 172 times)","New York University Journal of International Law and Politics, Vol. 45, Issue 2 (Winter 2013), pp. 391-486","New York University Journal of International Law and Politics, ",Vol.  45,2 (Winter 2013),391-486,45 N.Y.U. J. Int'l L. & Pol. 391 (2012-2013),9,na,8,"Asylum, Refugees, Human Rights, Human Rights Law, Immigration Law, National Defense",3962
The Hunt for Noncitizen Voters [article],Fatma Marouf,"Marouf, Fatma (Cited 172 times)","Stanford Law Review Online, Vol. 65, pp. 66-72","Stanford Law Review Online, ",Vol.  65,na,66-72,65 Stan. L. Rev. Online 66 (2012-2013),8,na,1,"Consent, Democracy, Immigration Law, Politics, Citizenship, Constitutional Law",3962
Alternatives to Immigration Detention [article],Fatma Marouf,"Marouf, Fatma E. (Cited 172 times)","Cardozo Law Review, Vol. 38, Issue 6 (August 2017), pp. 2141-2192","Cardozo Law Review, ",Vol.  38,6 (August 2017),2141-2192,38 Cardozo L. Rev. 2141 (2016-2017),4,na,130,"Constitutional Law, Detention, Disability Law, Human Rights Law, Immigration Law, Bail, Money",3962
The Unconstitutional Use of Restraints in Removal Proceedings [article],Fatma Marouf,"Marouf, Fatma E. (Cited 172 times)","Baylor Law Review, Vol. 67, Issue 1 (Winter 2015), pp. 214-283","Baylor Law Review, ",Vol.  67,1 (Winter 2015),214-283,67 Baylor L. Rev. 214 (2015),4,na,15,"Criminal Law and Procedure, Immigration Law, Disability Law, Education, Health Law, Juveniles, Torts",3962
Buying Time - False Assumptions about Abusive Appeals [article],Fatma Marouf,"Kagan, Michael (Cited 184 times); Marouf, Fatma (Cited 172 times); Gill, Rebecca (Cited 17 times)","Catholic University Law Review, Vol. 63, Issue 3 (Spring 2014), pp. 679-728","Catholic University Law Review, ",Vol.  63,3 (Spring 2014),679-728,63 Cath. U. L. Rev. 679 (2013-2014),4,na,4,"Appeals, Immigration Law, Practice and Procedure, Courts, Congress, States",3962
The Rising Bar for Persecution in Asylum Cases Involving Sexual and Reproductive Harm [article],Fatma Marouf,"Marouf, Fatma E. (Cited 172 times)","Columbia Journal of Gender and Law, Vol. 22, Issue 1 (2011), pp. 81-172","Columbia Journal of Gender and Law, ",Vol.  22,1 (2011),81-172,22 Colum. J. Gender & L. 81 (2011),3,na,42,"Asylum, Immigration Law, Sexuality and the Law, Gender, Female Genital Mutilation",3962
A Particularly Serious Exception to the Categorical Approach [article],Fatma Marouf,"Marouf, Fatma (Cited 172 times)","Boston University Law Review, Vol. 97, Issue 4 (July 2017), pp. 1427-1486","Boston University Law Review, ",Vol.  97,4 (July 2017),1427-1486,97 B.U. L. Rev. 1427 (2017),2,na,31,"Criminal Law and Procedure, Immigration Law, International Law, Sentencing",3962
Alienage Classifications and the Denial of Health Care to Dreamers [article],Fatma Marouf,"Marouf, Fatma (Cited 172 times)","Washington University Law Review, Vol. 93, Issue 5 (2016), pp. 1271-1340","Washington University Law Review, ",Vol.  93,5 (2016),1271-1340,93 Wash. U. L. Rev. 1271 (2015-2016),2,na,17,"Fourteenth Amendment, Health, Immigration Law, Education, Students",3962
Invisible Adjudication in the U.S. Court of Appeals [article],Fatma Marouf,"Kagan, Michael (Cited 184 times); Gill, Rebecca (Cited 17 times); Marouf, Fatma (Cited 172 times)","Georgetown Law Journal, Vol. 106, Issue 3 (March 2018), pp. 683-720","Georgetown Law Journal, ",Vol.  106,3 (March 2018),683-720,106 Geo. L.J. 683 (2017-2018),1,na,56,"Appeals, Courts, Databases, Immigration Law, Practice and Procedure",3962
Recent Scholarship for NGOs [notes],Fatma Marouf,"Marouf, Fatma E. (Cited 172 times); Anker, Deborah (Cited 106 times)","American Journal of International Law, Vol. 103, Issue 4 (October 2009), pp. 777-796","American Journal of International Law, ",Vol.  103,4 (October 2009),777-796,103 Am. J. Int'l L. 777 (2009),na,na,10,"Non-Governmental Organizations (Ngos), Organizations, International Courts and Tribunals, International Law, International Trade, Law and Society, Politics",3962
Assumed Sane [article],Fatma Marouf,"Marouf, Fatma (Cited 172 times)","Cornell Law Review Online, Vol. 101, pp. 25-38","Cornell Law Review Online, ",Vol.  101,na,25-38,101 Cornell L. Rev. Online 25 (2015-2016),na,4,3,"Criminal Law and Procedure, Immigration Law, International Law, Psychiatry and Psychology",3962
Justice on the Fly: The Danger of Errant Deportations [article],Fatma Marouf,"Marouf, Fatma (Cited 172 times); Kagan, Michael (Cited 184 times); Gill, Rebecca (Cited 17 times)","Immigration and Nationality Law Review, Vol. 35, pp. 239-306","Immigration and Nationality Law Review, ",Vol.  35,na,239-306,35 Immigr. & Nat'lity L. Rev. 239 (2014),na,na,3,"Courts, Immigration Law, Appeals, Practice and Procedure, Congress, States",3962
Executive Overreaching in Immigration Adjudication [article],Fatma Marouf,"Marouf, Fatma E. (Cited 172 times)","Tulane Law Review, Vol. 93, Issue 4 (April 2019), pp. 707-786","Tulane Law Review, ",Vol.  93,4 (April 2019),707-786,93 Tul. L. Rev. 707 (2018-2019),na,na,na,na,3962
Invoking Federal Common Law Defenses in Immigration Cases [article],Fatma Marouf,"Marouf, Fatma E. (Cited 172 times)","UCLA Law Review, Vol. 66, Issue 1 (January 2019), pp. 142-207","UCLA Law Review, ",Vol.  66,1 (January 2019),142-207,66 UCLA L. Rev. 142 (2019),na,na,na,na,3962
"The Taxation of Undocumented Immigrants: Separate, Unequal, and without Representation [article]",Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","Harvard Latino Law Review, Vol. 9, pp. 1-58","Harvard Latino Law Review, ",Vol.  9,na,Jan-58,9 Harv. Latino L. Rev. 1 (2006),63,na,109,"Immigrants, Immigration Law, Taxation, Taxation-Federal Income, Education",8223
The Working Poor are Paying for Government Benfits: Fixing the Hole in the Anti-Poverty Purse [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","Wisconsin Law Review, Vol. 2003, Issue 3 (2003), pp. 461-498","Wisconsin Law Review, ",Vol.  2003,3 (2003),461-498,2003 Wis. L. Rev. 461 (2003),21,na,12,"Government, Social Welfare Law, Taxation-Federal Income, Credit, Residency",8223
Enabling Work for People with Disabilities: A Post-Integrationist Revision of Underutilized Tax Incentives [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","American University Law Review, Vol. 53, Issue 2 (December 2003), pp. 393-458","American University Law Review, ",Vol.  53,2 (December 2003),393-458,53 Am. U. L. Rev. 393 (2003-2004),15,na,8,"Tax Incentives, Disability, Taxation, Economics, Labor, Labor Law",8223
"Taxing Undocumented Immigrants: Separate, Unequal, and without Representation [article]",Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","Tax Lawyer, Vol. 59, Issue 3 (Spring 2006), pp. 813-866","Tax Lawyer, ",Vol.  59,3 (Spring 2006),813-866,59 Tax Law. 813 (2005-2006),13,na,21,"Immigrants, Immigration Law, States, Equal Protection, Health, Public Health",8223
Bearing Witness to Economic Injustices of Undocumented Immigrant Families: A New Class of Undeserving Poor [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","Nevada Law Journal, Vol. 7, Issue 3 (Summer 2007), pp. 736-758","Nevada Law Journal, ",Vol.  7,3 (Summer 2007),736-758,7 Nev. L.J. 736 (2006-2007),13,na,11,"Social Welfare Law, Education, Immigration Law, Students",8223
Anatomy of a Disaster under the Internal Revenue Code [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","Florida Tax Review, Vol. 6, Issue 10 (2005), pp. 953-1024","Florida Tax Review, ",Vol.  6,10 (2005),953-1024,6 Fla. Tax Rev. 953 (2003-2005),11,na,8,"Insurance Law, Social Welfare Law, Disaster Law, Tax Policy, Tax Relief, Government, Victims",8223
Access to Tax Injustice [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","Pepperdine Law Review, Vol. 40, Special Issue (2013), pp. 1173-1208","Pepperdine Law Review, ",Vol.  40,-2013,1173-1208,40 Pepp. L. Rev. 1173 (2012-2013),11,na,10,"Credit, States",8223
No More Parking Lots: How the Tax Code Keeps Trees Out of a Tree Museum and Paradise Unpaved [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","Harvard Environmental Law Review, Vol. 27, Issue 2 (2003), pp. 471-518","Harvard Environmental Law Review, ",Vol.  27,2 (2003),471-518,27 Harv. Envtl. L. Rev. 471 (2003),9,na,1,"Agriculture Law, Parking, Taxation-Federal Income, Trees, Liquidation, Timber, Farmland, States",8223
Heal the Suffering Children: Fifty Years after the Declaration of War on Poverty [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times); Davis, Dawn (Cited 6 times)","Boston College Journal of Law and Social Justice, Vol. 34, Issue 2 (Spring 2014), pp. 311-340","Boston College Journal of Law and Social Justice, ",Vol.  34,2 (Spring 2014),311-340,34 B.C. J. L. & Soc. Just. 311 (2014),6,na,2,"Children, War, Health, Public Health, Martin Luther King, Jr",8223
The Illegal Tax [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","Connecticut Public Interest Law Journal, Vol. 11, Issue 1 (Fall-Winter 2011), pp. 93-132","Connecticut Public Interest Law Journal, ",Vol.  11,1 (Fall-Winter 2011),93-132,11 Conn. Pub. Int. L.J. 93 (2011-2012),6,na,17,"Immigration Law, Taxation-Federal Income, Social Welfare Law",8223
Incentive Stock Options and the Alternative Minimum Tax: The Worst of Times [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","Harvard Journal on Legislation, Vol. 39, Issue 2 (Summer 2002), pp. 337-374","Harvard Journal on Legislation, ",Vol.  39,2 (Summer 2002),337-374,39 Harv. J. on Legis. 337 (2002),6,1,7,"Taxation-Federal Income, Taxation, Compensation, Equity",8223
(Anti)Poverty Measures Exposed [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","Florida Tax Review, Vol. 21, Issue 1 (2017), pp. 389-532","Florida Tax Review, ",Vol.  21,1 (2017),389-532,21 Fla. Tax Rev. 389 (2017-2018),2,na,87,"Law and Society, Social Welfare, History, Aged",8223
S Corporation Loss Limitations: The Tax Court Provides Potential Hope for Related Party Debt Restructurings [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","Virginia Tax Review, Vol. 22, Issue 1 (Summer 2002), pp. 67-104","Virginia Tax Review, ",Vol.  22,1 (Summer 2002),67-104,22 Va. Tax Rev. 67 (2002-2003),2,na,1,"Corporations, Debt, Securities",8223
Reconciling the Premium Tax Credit: Painful Complications for Lower and Middle-Income Taxpayers [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times); Williamson, James E. (Cited 2 times)","SMU Law Review, Vol. 69, Issue 2 (Spring 2016), pp. 351-386","SMU Law Review, ",Vol.  69,2 (Spring 2016),351-386,69 S.M.U. L. Rev. 351 (2016),2,na,6,"Credit, Health, Health Law, States, Women",8223
#CriptheCode to Enable Work [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times); Williamson, James E. (Cited 2 times)","ABA Tax Times, Vol. 37, Issue 4 (August 2018), pp. 42-46","ABA Tax Times, ",Vol.  37,4 (August 2018),42-46,37 ABA Tax Times 42 (2017-2018),na,na,1,"Civil Rights, Computer Law, Public Accommodations, Jury, Disability",8223
"Reflections on America the Beautiful: A Past, Present, and Future of Service [notes]",Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","NewsQuarterly (ABA), Vol. 33, Issue 1 (Fall 2013), pp. 24-27","NewsQuarterly (ABA), ",Vol.  33,1 (Fall 2013),24-27,33 NewsQuarterly 24 (2013-2014),na,na,na,"Children, War, Farmworkers, Equal Access to Justice, History",8223
The Face of Poverty Is a Working Mother's Face: Interview with Public Service Fellow Susanna Birdsong [notes],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","NewsQuarterly (ABA), Vol. 33, Issue 3 (Spring 2014), pp. 13-15","NewsQuarterly (ABA), ",Vol.  33,3 (Spring 2014),13-15,33 NewsQuarterly 13 (2013-2014),na,na,3,"Credit, Taxation-Federal, Child Care, Children, Tax Relief, Taxation-Federal Income",8223
The City of Brotherly Love Is Plagued with Poverty [comments],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","NewsQuarterly (ABA), Vol. 33, Issue 4 (Summer 2014), pp. 1-11","NewsQuarterly (ABA), ",Vol.  33,4 (Summer 2014),11-Jan,33 NewsQuarterly 1 (2013-2014),na,na,1,"Health, Capital Gains, Bankruptcy, Liens, Property, Tax Liens",8223
At the Crossroads in America [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","NewsQuarterly, Vol. 34, Issue 2 (Winter 2015), pp. 4-5","NewsQuarterly, ",Vol.  34,2 (Winter 2015),5-Apr,34 NewsQuarterly 4 (Winter 2015),na,na,2,"Farmworkers, Expungement, Compensation, Jurisdiction, Labor, Undocumented Workers, Workers' Compensation, Workers' Compensation Law",8223
Pro Bono Matters to Farmworkers in Pennsylvania [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","NewsQuarterly, Vol. 34, Issue 4 (Summer 2015), pp. 12-15","NewsQuarterly, ",Vol.  34,4 (Summer 2015),15-Dec,34 NewsQuarterly 12 (Summer 2015),na,na,2,"Farmworkers, Insurance, Unemployment, Unemployment Insurance, Medicaid, Residency, States",8223
Pro Bono Matters in the District [notes],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","ABA Tax Times, Vol. 35, Issue 3 (June 2016), pp. 40-44","ABA Tax Times, ",Vol.  35,3 (June 2016),40-44,35 ABA Tax Times 40 (2015-2016),na,na,1,"Race, Social Welfare Law, Taxation-Federal Income, Credit, Minimum Wage",8223
Getting to Know the Commonwealth Formerly Known as Taxachusetts [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","ABA Tax Times, Vol. 36, Issue 1 (November 2016), pp. 41-44","ABA Tax Times, ",Vol.  36,1 (November 2016),41-44,36 ABA Tax Times 41 (2016-2017),na,na,2,"Bad Faith, Insurance, Compensation, Labor, Athletes, Taxation",8223
Shining a Light on the PATH [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","ABA Tax Times, Vol. 36, Issue 4 (August 2017), pp. 47-49","ABA Tax Times, ",Vol.  36,4 (August 2017),47-49,36 ABA Tax Times 47 (2016-2017),na,na,na,"Documents, Identification, Immigrants, Public Policy, Employees, Banking, Financial Services, Social Security",8223
Georgia on My Mind [notes],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","ABA Tax Times, Vol. 38, Issue 1 (November 2018), pp. 21-23","ABA Tax Times, ",Vol.  38,1 (November 2018),21-23,38 ABA Tax Times 21 (2018-2019),na,na,1,"Education, Criminal Law and Procedure, Politics, Water",8223
Pro Bono Matters at the Section's January 2019 Meeting in New Orleans: Because Living's Not Easy in the Big Easy [notes],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","ABA Tax Times, Vol. 38, Issue 2 (February 2019), pp. 32-34","ABA Tax Times, ",Vol.  38,2 (February 2019),32-34,38 ABA Tax Times 32 (2018-2019),na,na,na,"Land Use, Criminal Law and Procedure, Disaster Law, Education, Law and Society, State and Local Government Law",8223
Social Security Spouse and Survivor Benefits 101: Practical Primer Part II (Or Another Reason to Put a Ring on It) [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times); Williamson, James E. (Cited 2 times)","Experience , Vol. 21, Issue 1 (2011), pp. 19-23","Experience , ",Vol.  21,1 (2011),19-23,21 Experience 19 (2011),na,na,1,"Social Security, Retirement",8223
Irresponsibly Taxing Irresponsibility: The Individual Tax Penalty under the Affordable Care Act [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times); Owen, James","Georgetown Journal on Poverty Law and Policy, Vol. 23, Issue 3 (Spring 2016), pp. 463-520","Georgetown Journal on Poverty Law and Policy, ",Vol.  23,3 (Spring 2016),463-520,23 Geo. J. on Poverty L. & Pol'y 463 (2015-2016),na,na,10,"Health Law, Taxation-Federal, Health, Health Insurance, Insurance, Gambling",8223
Avoiding Malpractice Traps in Noncash Charitable Contributions [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times); Williamson, James E. (Cited 2 times)","Practical Tax Lawyer, Vol. 14, Issue 2 (Winter 2000), pp. 49-2","Practical Tax Lawyer, ",Vol.  14,2 (Winter 2000),49-2,14 Prac. Tax Law. 49 (1999-2000),na,na,na,na,8223
More Alternatives in the Complex World of the Alternative Minimum Tax: The Election to Itemize Deductions [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times); Oestreich, Nathan (Cited 1 times); Williamson, James E. (Cited 2 times)","Practical Tax Lawyer , Vol. 18, Issue 2 (Winter 2004), pp. 7-14","Practical Tax Lawyer , ",Vol.  18,2 (Winter 2004),14-Jul,18 Prac. Tax Law. 7 (2003-2004),na,na,na,na,8223
Avoiding Malpractice Traps in Tax Correspondence and Filings [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times); Williamson, James E. (Cited 2 times)","Practical Tax Lawyer, Vol. 11, Issue 1 (Fall 1996), pp. 41-48","Practical Tax Lawyer, ",Vol.  11,1 (Fall 1996),41-48,11 Prac. Tax Law. 41 (1996-1997),na,na,na,na,8223
"Earned Income Tax Credit and Nevada's Families, The [notes]",Francine J. Lipman,"Lipman, Francine J. (Cited 179 times)","Nevada Lawyer, Vol. 24, Issue 4 (April 2016), pp. 34-35","Nevada Lawyer, ",Vol.  24,4 (April 2016),34-35,24 Nev. Law. 34 (2016),na,na,1,"Credit, Government, Social Welfare Law, Taxation-Federal Income, Law and Society, Race, Tax Policy",8223
Interest on Estate Taxes: A Comment [article],Francine J. Lipman,"Lipman, Francine J. (Cited 179 times); Williamson, James E. (Cited 2 times)","Trusts and Estates, Vol. 132, Issue 8 (August 1993), pp. 48-53","Trusts and Estates, ",Vol.  132,8 (August 1993),48-53,Full Text Not Currently Available in HeinOnline,na,na,na,"Interest, Death, Probate, Probate Law, Statute of Limitations",8223
The Social Security Benefits Formula and the Windfall Elimination Provision: An Equitable Approach to Addressing Windfall Benefits [article],Francine Lipman,"Lipman, Francine (Cited 2 times); Smith, Alan (Cited 2 times)","Journal of Legislation, Vol. 39, Issue 2 (2012-2013), pp. 181-250","Journal of Legislation, ",Vol.  39,2 (2012-2013),181-250,39 J. Legis. 181 (2012-2013),2,1,3,"Economics, Elder Law, Retirement, Social Security, Employees, Government, Health, Public Employees",8223
Celebrating Life (Chai) and Taxes [notes],Francine Lipman,"Lipman, Francine (Cited 2 times)","GPSolo, Vol. 24, Issue 6 (September 2007), pp. 42-47","GPSolo, ",Vol.  24,6 (September 2007),42-47,24 GPSolo 42 (2007),na,na,na,"Death, Consumer Protection Law, Drugs, Food and Drug Law, Health, Medical Care, Genetics, Health Law, Practice of Medicine, Research",8223
Never-Ending Limitations on S Corporation Losses: The Slippery Slope of S Corporation Debt Guarantees [article],Francine Lipman,"Lipman, Francine (Cited 2 times)","Taxes - The Tax Magazine, Vol. 80, Issue 6 (June 2002), pp. 29-52","Taxes - The Tax Magazine, ",Vol.  80,6 (June 2002),29-52,80 Taxes 29 (2002),na,na,na,"Debt, Corporations",8223
Reinventing Sovereignty: Federalism as a Constraint on the Voting Rights Act [article],Franita Tolson,"Tolson, Franita (Cited 149 times)","Vanderbilt Law Review, Vol. 65, Issue 4 (May 2012), pp. 1195-1260","Vanderbilt Law Review, ",Vol.  65,4 (May 2012),1195-1260,65 Vand. L. Rev. 1195 (May 2012),31,na,15,"Federalism, Sovereignty, Voting, Elections",4685
Partisan Gerrymandering as a Safeguard of Federalism [article],Franita Tolson,"Tolson, Franita (Cited 149 times)","Utah Law Review, Vol. 2010, Issue 3 (2010), pp. 859-910","Utah Law Review, ",Vol.  2010,3 (2010),859-910,2010 Utah L. Rev. 859 (2010),26,na,28,"Federalism, Politics, First Amendment",4685
The Boundaries of Litigating Unconscious Discrimination: Firm-Based Remedies in Response to a Hostile Judiciary [article],Franita Tolson,"Tolson, Franita (Cited 149 times)","Delaware Journal of Corporate Law, Vol. 33, Issue 2 (2008), pp. 347-422","Delaware Journal of Corporate Law, ",Vol.  33,2 (2008),347-422,33 Del. J. Corp. L. 347 (2008),20,na,9,"Boundaries, Discrimination, Employment Practice, Judiciary, Remedies",4685
The Constitutional Structure of Voting Rights Enforcement [article],Franita Tolson,"Tolson, Franita (Cited 149 times)","Washington Law Review, Vol. 89, Issue 2 (June 2014), pp. 379-440","Washington Law Review, ",Vol.  89,2 (June 2014),379-440,89 Wash. L. Rev. 379 (2014),17,na,15,"Fourteenth Amendment, Politics, Voting, History, Race and Ethnicity",4685
What Is Abridgment: A Critique of Two Section Twos [article],Franita Tolson,"Tolson, Franita (Cited 149 times)","Alabama Law Review, Vol. 67, Issue 2 (2015), pp. 433-484","Alabama Law Review, ",Vol.  67,2 (2015),433-484,67 Ala. L. Rev. 433 (2015-2016),13,na,10,"Fourteenth Amendment, Criminal Law and Procedure, Politics",4685
Protecting Political Participation through the Voter Qualifications Clause of Article I [article],Franita Tolson,"Tolson, Franita (Cited 149 times)","Boston College Law Review, Vol. 56, Issue 1 (2015), pp. 159-214","Boston College Law Review, ",Vol.  56,1 (2015),159-214,56 B.C. L. Rev. 159 (2015),12,3,18,"Constitutional Law, Voting, Elections, Federalism, Judges, Right to Vote",4685
Benign Partisanship [article],Franita Tolson,"Tolson, Franita (Cited 149 times)","Notre Dame Law Review, Vol. 88, Issue 1 (November 2012), pp. 395-456","Notre Dame Law Review, ",Vol.  88,1 (November 2012),395-456,88 Notre Dame L. Rev. 395 (2012-2013),12,na,16,"Politics, Redistricting, Federalism, Fourteenth Amendment",4685
Litigating under the Voting Rights Act after the Texas Redistricting Cases [article],Franita Tolson,"Tolson, Franita (Cited 149 times)","Federal Lawyer, Vol. 59, Issue 5 (June 2012), pp. 46-53","Federal Lawyer, ",Vol.  59,5 (June 2012),46-53,59 Fed. Law. 46 (2012),6,na,4,"Constitutional Law, Politics, Elections, Redistricting, Race, Voting",4685
The Union as a Safeguard against Faction: Congressional Gridlock as State Empowerment [article],Franita Tolson,"Tolson, Franita (Cited 149 times)","Notre Dame Law Review, Vol. 88, Issue 5 (June 2013), pp. 2267-2286","Notre Dame Law Review, ",Vol.  88,5 (June 2013),2267-2286,88 Notre Dame L. Rev. 2267 (2012-2013),5,na,21,"Democracy, Lobbying, Congress, Legislation, Property",4685
Election Law Federalism and the Limits of the Antidiscrimination Framework [article],Franita Tolson,"Tolson, Franita (Cited 149 times)","William & Mary Law Review, Vol. 59, Issue 5 (April 2018), pp. 2211-[viii]","William & Mary Law Review, ",Vol.  59,5 (April 2018),2211-[viii],59 Wm. & Mary L. Rev. 2211 (2017-2018),3,na,25,"Federalism, Elections, Sovereignty, Voting",4685
