,Title,Paper Type,List Author,Author(s),Number of Authors,Journal,Journal,Vol,Issue,Issue Year,First Page,Last Page,BBCite,BBCite Year,Cited (articles),Cited (cases),Accessed,Topics,ID
27,"Life, Health, and Disability Insurance: Understanding the Relationships",article,Robert H. II Jerry,"Jerry, Robert H. II (Cited 298 times)",1,"Journal of Law, Medicine and Ethics, Vol. 35, Issue 2 Special Supplement (Summer 2007), pp. 80-90","Journal of Law, Medicine and Ethics",Vol.  35,2 Special Supplement (Summer 2007),2007,80,90,35 J.L. Med. & Ethics 80 (2007),2007,3,0,0,"Disability, Disability Insurance, Health, Insurance, Discrimination, Genetics",5404
28,"The Legal Profession, Legal Education, and Change",comments,Robert H. II Jerry,"Jerry, Robert H. II (Cited 298 times)",1,"University of Kansas Law Review, Vol. 41, Issue 1 (Fall 1992), pp. 1-10",University of Kansas Law Review,Vol.  41,1 (Fall 1992),1992,1,10,41 U. Kan. L. Rev. 1 (1992-1993),1992,3,0,3,"Education, Legal Education, Legal Profession, Women, Law and Society",5404
29,Public Forum 2.1: Public Higher Education Institutions and Social Media,article,Robert H. II Jerry,"Jerry, Robert H. II (Cited 298 times); Lidsky, Lyrissa (Cited 80 times)",2,"Florida Coastal Law Review, Vol. 14, Issue 1 (Fall 2012), pp. 55-98",Florida Coastal Law Review,Vol.  14,1 (Fall 2012),2012,55,98,14 Fla. Coastal L. Rev. 55 (2012-2013),2012,2,0,12,"Education, Social Media, Academic Freedom, Libel",5404
30,Letter from the Leaders at the University of Kansas,comments,Robert H. II Jerry,"Jerry, Robert H. II (Cited 298 times)",1,"Kansas Journal of Law & Public Policy, Vol. 1, pp. 4-4",Kansas Journal of Law & Public Policy,Vol.  1,,,4,4,1 Kan. J.L. & Pub. Pol'y 4 (1991),1991,1,0,5,Public Policy,5404
31,Leadership and Followership,comments,Robert H. II Jerry,"Jerry, Robert H. II (Cited 298 times)",1,"University of Toledo Law Review, Vol. 44, Issue 2 (Winter 2013), pp. 345-354",University of Toledo Law Review,Vol.  44,2 (Winter 2013),2013,345,354,44 U. Tol. L. Rev. 345 (2012-2013),2012,0,0,79,"Law Enforcement, Police, Probation",5404
32,A Brief Exploration of Space: Some Observations on Law School Architecture,article,Robert H. II Jerry,"Jerry, Robert H. II (Cited 298 times)",1,"University of Toledo Law Review, Vol. 36, Issue 1 (Fall 2004), pp. 85-94",University of Toledo Law Review,Vol.  36,1 (Fall 2004),2004,85,94,36 U. Tol. L. Rev. 85 (2004-2005),2004,0,0,2,"Libraries, General",5404
33,Framing Campus Free Expression Conflict through a Dispute Resolution Optic: Insights for Campus Leaders,article,Robert H. II Jerry,"Jerry, Robert H. II (Cited 298 times)",1,"Journal of Dispute Resolution, Vol. 2018, Issue 2 (Spring 2018), pp. 57-70",Journal of Dispute Resolution,Vol.  2018,2 (Spring 2018),2018,57,70,2018 J. Disp. Resol. 57 (2018),2018,0,0,20,"Dispute Resolution, Research, Costs, Education, Schools",5404
34,Vade Mecum: Mediators and Disputes Involving Insurance,article,Robert H. II Jerry,"Jerry, Robert H. II (Cited 298 times)",1,"Journal of Dispute Resolution, Vol. 2019, Issue 1 (2019), pp. 25-72",Journal of Dispute Resolution,Vol.  2019,1 (2019),2019,25,72,2019 J. Disp. Resol. 25 (2019),2019,0,0,17,"Insurance, Insurance Law, Legal Profession",5404
35,"Insurance, Terrorism, and 9/11",article,Robert H. II Jerry,"Jerry, Robert H. II (Cited 298 times)",1,"TortSource, Vol. 5, Issue 2 (Winter 2003), pp. 1-6",TortSource,Vol.  5,2 (Winter 2003),2003,1,6,5 TortSource 1 (2002-2003),2002,0,0,1,"Insurance, Terrorism, Insurance Law, Military Law, Legislation",5404
36,Managing Hurricane (and Other Natural Disaster) Risk,article,Robert H. II Jerry,"Jerry, Robert H. II (Cited 298 times)",1,"Texas A&M Law Review, Vol. 6, Issue 2 (Winter 2019), pp. 391-452",Texas A&M Law Review,Vol.  6,2 (Winter 2019),2019,391,452,6 Tex. A&M L. Rev. 391 (2018-2019),2018,0,0,0,,5404
0,Symbolism and Incommensurability in Civil Sanctioning: Decision Makers as Goal Managers,article,Robert J. MacCoun,"Robbennolt, Jennifer K. (Cited 578 times); Darley, John M. (Cited 887 times); MacCoun, Robert J. (Cited 258 times)",3,"Brooklyn Law Review, Vol. 68, Issue 4 (2003), pp. 1121-1158",Brooklyn Law Review,Vol.  68,4 (2003),2003,1121,1158,68 Brook. L. Rev. 1121 (2002-2003),2002,27,0,6,"Punitive Damages, Remedies, Law and Society, Courts, Judges, Jurisprudence",8979
1,Differential Treatment of Corporate Defendants by Juries: An Examination of the Deep-Pocket Hypothesis,article,Robert J. MacCoun,"MacCoun, Robert J. (Cited 258 times)",1,"Law & Society Review, Vol. 30, Issue 1 (1996), pp. 121-162",Law & Society Review,Vol.  30,1 (1996),1996,121,162,30 Law & Soc'y Rev. 121 (1996),1996,27,0,28,"Corporations, Courts, Defendants, Intellectual Property Law",8979
2,Estimating Liability Risks with the Media as Your Guide,article,Robert J. MacCoun,"Bailis, Daniel S. (Cited 17 times); MacCoun, Robert J. (Cited 258 times)",2,"Judicature, Vol. 80, Issue 2 (September-October 1996), pp. 64-67",Judicature,Vol.  80,2 (September-October 1996),1996,64,67,80 Judicature 64 (1996-1997),1996,17,0,1,"Liability, Communications Law, Jury, Verdicts",8979
3,The Costs and Benefits of Letting Juries Punish Corporations: Comment on Viscusi,comments,Robert J. MacCoun,"MacCoun, Robert J. (Cited 258 times)",1,"Stanford Law Review, Vol. 52, Issue 6 (July 2000), pp. 1821-1828",Stanford Law Review,Vol.  52,6 (July 2000),2000,1821,1828,52 Stan. L. Rev. 1821 (1999-2000),1999,17,0,9,"Corporations, Costs, Courts, Remedies, Antitrust, Economics, Evidence, Law and Society, Trade Regulation",8979
4,Media Reporting of Jury Verdicts: Is the Tail (of the Distribution) Wagging the Dog,article,Robert J. MacCoun,"MacCoun, Robert J. (Cited 258 times)",1,"DePaul Law Review, Vol. 55, Issue 2 (Winter 2006), pp. 539-562",DePaul Law Review,Vol.  55,2 (Winter 2006),2006,539,562,55 DePaul L. Rev. 539 (2005-2006),2005,11,0,13,"Communications Law, Jury, Verdicts",8979
5,"Comparing Legal Factfinders: Real and Mock, Amateur and Professional",notes,Robert J. MacCoun,"MacCoun, Robert J. (Cited 258 times)",1,"Florida State University Law Review, Vol. 32, Issue 2 (Winter 2005), pp. 511-518",Florida State University Law Review,Vol.  32,2 (Winter 2005),2005,511,518,32 Fla. St. U. L. Rev. 511 (2004-2005),2004,10,0,10,"Jury, Law and Society, Judges, Research",8979
6,Unintended Consequences of Court Arbitration: A Cautionary Tale from New Jersey,article,Robert J. MacCoun,"MacCoun, Robert J. (Cited 258 times)",1,"Justice System Journal, Vol. 14, Issue 2 (1991), pp. 229-243",Justice System Journal,Vol.  14,2 (1991),1991,229,243,14 Just. Sys. J. 229 (1990-1991),1990,10,0,1,Arbitration,8979
7,The Emergence of Extralegal Bias during Jury Deliberation,article,Robert J. MacCoun,"MacCoun, Robert J. (Cited 258 times)",1,"Criminal Justice and Behavior, Vol. 17, Issue 3 (September 1990), pp. 303-314",Criminal Justice and Behavior,Vol.  17,3 (September 1990),1990,303,314,17 Crim. Just. & Behavior 303 (1990),1990,9,0,64,"Courts, Criminal Law and Procedure, Law and Society",8979
8,Experimental Research on Jury Decision-Making,notes,Robert J. MacCoun,"MacCoun, Robert J. (Cited 258 times)",1,"Jurimetrics Journal, Vol. 30, Issue 2 (Winter 1990), pp. 223-234",Jurimetrics Journal,Vol.  30,2 (Winter 1990),1990,223,234,30 Jurimetrics J. 223 (1989-1990),1989,8,0,6,"Law and Society, Criminal Law and Procedure, Evidence, Psychiatry and Psychology, Science and Technology, Practice and Procedure",8979
9,Testing Drugs versus Testing for Drug Use: Private Risk Management in the Shadow of Criminal Law,article,Robert J. MacCoun,"MacCoun, Robert J. (Cited 258 times)",1,"DePaul Law Review, Vol. 56, Issue 2 (Winter 2007), pp. 507-538",DePaul Law Review,Vol.  56,2 (Winter 2007),2007,507,538,56 DePaul L. Rev. 507 (2006-2007),2006,7,0,43,"Alcoholic Beverages, Constitutional Rights, Drug Testing, Legislation, Privacy, Right to Privacy, Criminal Law and Procedure, Transportation Law",8979
10,Intuitive Lawmaking: The Example of Child Support,article,Robert J. MacCoun,"Ellman, Ira Mark (Cited 1088 times); Braver, Sanford (Cited 25 times); MacCoun, Robert J. (Cited 258 times)",3,"Journal of Empirical Legal Studies, Vol. 6, Issue 1 (2009), pp. 69-110",Journal of Empirical Legal Studies,Vol.  6,1 (2009),2009,69,110,6 J. Empirical Legal Stud. 69 (2009),2009,4,0,1,"Child Support, Domestic Relations, Marital Status",8979
11,Transcription of Keynote Speakers' Address,comments,Robert J. MacCoun,"MacCoun, Robert (Cited 258 times); Reuter, Peter (Cited 68 times)",2,"Michigan State University Journal of Medicine and Law, Vol. 13, Issue 2 (Spring 2009), pp. 449-486",Michigan State University Journal of Medicine and Law,Vol.  13,2 (Spring 2009),2009,449,486,13 Mich. St. U. J. Med. & L. 449 (2009),2009,0,0,1,"Marijuana, Medical Marijuana, Zoning, Democracy",8979
0,A Price Theory of Legal Bargaining: An Inquiry into the Selection of Settlement and Litigation under Uncertainty,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Emory Law Journal, Vol. 56, Issue 3 (2006), pp. 619-692",Emory Law Journal,Vol.  56,3 (2006),2006,619,692,56 Emory L.J. 619 (2006-2007),2006,37,0,21,"Dispute Resolution, Law and Society, Insurance, Insurance Law",1524
1,Toward Procedural Optionality: Private Ordering of Public Adjudication,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"New York University Law Review , Vol. 84, Issue 2 (May 2009), pp. 514-571",New York University Law Review ,Vol.  84,2 (May 2009),2009,514,571,84 N.Y.U. L. Rev. 514 (2009),2009,35,0,10,"Dispute Resolution, Practice and Procedure, Procedure",1524
2,The Effect of Risk on Legal Valuation,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"University of Colorado Law Review, Vol. 78, Issue 1 (2007), pp. 193-256",University of Colorado Law Review,Vol.  78,1 (2007),2007,193,256,78 U. Colo. L. Rev. 193 (2007),2007,35,0,5,"Dispute Resolution, Torts, Law and Society",1524
3,"Terrorism Risk in a Post-9/11 Economy: The Convergence of Capital Markets, Insurance, and Government Action",article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Arizona State Law Journal, Vol. 37, Issue 2 (Summer 2005), pp. 435-534",Arizona State Law Journal,Vol.  37,2 (Summer 2005),2005,435,534,37 Ariz. St. L.J. 435 (2005),2005,32,0,23,"Economics, Insurance Law, International Law",1524
4,A Principled Solution for Negligent Infliction of Emotional Distress Claims,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Arizona State Law Journal, Vol. 36, Issue 3 (Fall 2004), pp. 805-884",Arizona State Law Journal,Vol.  36,3 (Fall 2004),2004,805,884,36 Ariz. St. L.J. 805 (Fall 2004),2004,30,7,26,Torts,1524
5,The Tort Foundation of Duty of Care and Business Judgment,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Notre Dame Law Review, Vol. 88, Issue 3 (February 2013), pp. 1139-1198",Notre Dame Law Review,Vol.  88,3 (February 2013),2013,1139,1198,88 Notre Dame L. Rev. 1139 (2012-2013),2012,26,0,69,"Duty of Care, Business Judgment Rule, State and Local Government Law, Corporate Officers, Corporations",1524
6,Tort Arbitrage,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Florida Law Review, Vol. 60, Issue 1 (January 2008), pp. 125-182",Florida Law Review,Vol.  60,1 (January 2008),2008,125,182,60 Fla. L. Rev. 125 (2008),2008,25,0,7,"Torts, Property, Negligence",1524
7,"Fiduciary Exemption for Public Necessity: Shareholder Profit, Public Good, and the Hobson's Choice during a National Crisis",article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"George Mason Law Review, Vol. 17, Issue 3 (Spring 2010), pp. 661-736",George Mason Law Review,Vol.  17,3 (Spring 2010),2010,661,736,17 Geo. Mason L. Rev. 661 (2009-2010),2009,23,2,18,"Banking, Corporations, Comparative Law, Regulation, Investment, Securities",1524
8,"The Madoff Scandal, Market Regulatory Failure and the Business Education of Lawyers",article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Journal of Corporation Law , Vol. 35, Issue 2 (Winter 2009), pp. 363-392",Journal of Corporation Law ,Vol.  35,2 (Winter 2009),2009,363,392,35 J. Corp. L. 363 (Winter 2009),2009,22,0,121,"Banking, Education, Legal Education, Securities, Professional Ethics",1524
9,The Law School Firm,comments,Robert J. Rhee,"Borden, Bradley T. (Cited 184 times); Rhee, Robert J. (Cited 400 times)",2,"South Carolina Law Review, Vol. 63, Issue 1 (Autumn 2011), pp. 1-12",South Carolina Law Review,Vol.  63,1 (Autumn 2011),2011,1,12,63 S. C. L. Rev. 1 (2011-2012),2011,17,0,9,"Legal Education, Legal Profession, Education",1524
10,Catastrophic Risk and Governance after Hurricane Katrina: A Postscript to Terrorism Risk in a Post-9/11 Economy,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Arizona State Law Journal, Vol. 38, Issue 2 (Summer 2006), pp. 581-616",Arizona State Law Journal,Vol.  38,2 (Summer 2006),2006,581,616,38 Ariz. St. L.J. 581 (2006),2006,15,0,9,"Economics, Law and Society, Terrorism, Government, Insurance, Comparative Law",1524
11,Bonding Limited Liability,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"William and Mary Law Review, Vol. 51, Issue 4 (March 2010), pp. 1417-1488",William and Mary Law Review,Vol.  51,4 (March 2010),2010,1417,1488,51 Wm. & Mary L. Rev. 1417 (2009-2010),2009,14,0,24,"Corporations, Liability, Torts, Federalism",1524
12,The Application of Finance Theory to Increased Risk Harms in Toxic Tort Litigation,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Virginia Environmental Law Journal, Vol. 23, Issue 2 (2004), pp. 111-202",Virginia Environmental Law Journal,Vol.  23,2 (2004),2004,111,202,23 Va. Envtl. L.J. 111 (2004-2005),2004,13,0,5,"Economics, Torts, Cause of Action, Environment, Remedies",1524
13,A Production Theory of Pure Economic Loss,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Northwestern University Law Review, Vol. 104, Issue 1 (2010), pp. 49-104",Northwestern University Law Review,Vol.  104,1 (2010),2010,49,104,104 Nw. U. L. Rev. 49 (2010),2010,11,0,34,"Economics, Jurisprudence, Torts, Insurance, Insurance Law, Liability, Liability Insurance, Remedies",1524
14,"Corporate Ethics, Agency, and the Theory of the Firm",article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Journal of Business & Technology Law, Vol. 3, Issue 2 (2008), pp. 309-332",Journal of Business & Technology Law,Vol.  3,2 (2008),2008,309,332,3 J. Bus. & Tech. L. 309 (2008),2008,10,0,15,"Agency, Ethics, Contracts, Corporations",1524
15,"Deal Deconstructions, Case Studies, and Case Simulations: Toward Practice Readiness with New Padagogies in Teaching Business and Transactional Law",article,Robert J. Rhee,"Harner, Michelle M. (Cited 250 times); Rhee, Robert J. (Cited 400 times)",2,"American University Business Law Review, Vol. 3, Issue 1 (2014), pp. 81-98",American University Business Law Review,Vol.  3,1 (2014),2014,81,98,3 Am. U. Bus. L. Rev. 81 (2014),2014,9,0,15,"Legal Education, Curriculum, Education, Law Students, Students",1524
16,The Socratic Method and the Mathematical Heuristic of George Polya,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"St. John's Law Review , Vol. 81, Issue 4 (Fall 2007), pp. 881-898",St. John's Law Review ,Vol.  81,4 (Fall 2007),2007,881,898,81 St. John's L. Rev. 881 (2007),2007,8,0,13,"Legal Education, Education, Students",1524
17,On Duopoly and Compensation Games in the Credit Rating Industry,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Northwestern University Law Review, Vol. 108, Issue 1 (Fall 2013), pp. 85-138",Northwestern University Law Review,Vol.  108,1 (Fall 2013),2013,85,138,108 Nw. U. L. Rev. 85 (Fall 2013),2013,6,0,15,"Compensation, Credit, Industry, Securities, Regulation, Banking, Financial Law",1524
18,The Decline of Investment Banking: Preliminary Thoughts on the Evolution of the Industry 1996-2008,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Journal of Business & Technology Law, Vol. 5, Issue 1 (2010), pp. 75-98",Journal of Business & Technology Law,Vol.  5,1 (2010),2010,75,98,5 J. Bus. & Tech. L. 75 (2010),2010,6,0,16,"Banking, Industry, Investment, Securities",1524
19,A Financial Economic Theory of Punitive Damages,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Michigan Law Review, Vol. 111, Issue 1 (October 2012), pp. 33-88",Michigan Law Review,Vol.  111,1 (October 2012),2012,33,88,111 Mich. L. Rev. 33 (2012-2013),2012,5,3,14,"Damages, Economics, Punitive Damages, Torts",1524
20,Specialization in Law and Business: A Proposal for a JD/MBL Curriculum,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Chapman Law Review, Vol. 17, Issue 1 (Fall 2013), pp. 37-72",Chapman Law Review,Vol.  17,1 (Fall 2013),2013,37,72,17 Chap. L. Rev. 37 (2013-2014),2013,4,0,4,"Legal Education, Legal Profession, Criminal Law and Procedure",1524
21,"Probability, Policy and the Problem of Reference Class",article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"International Journal of Evidence & Proof , Vol. 11, Issue 4 (2007), pp. 286-291",International Journal of Evidence & Proof ,Vol.  11,4 (2007),2007,286,291,11 Int'l J. Evidence & Proof 286 (2007),2007,4,0,2,"Statistics, Evidence",1524
22,Teaching LLCs through a Problem-Based Approach,notes,Robert J. Rhee,"Harner, Michelle M. (Cited 250 times); Rhee, Robert J. (Cited 400 times)",2,"Washington and Lee Law Review, Vol. 71, Issue 1 (Winter 2014), pp. 489-524",Washington and Lee Law Review,Vol.  71,1 (Winter 2014),2014,489,524,71 Wash. & Lee L. Rev. 489 (2014),2014,4,0,10,"Legal Education, Partnerships, Liability, Limited Liability Companies",1524
23,Intrafirm Monitoring of Executive Compensation,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Vanderbilt Law Review, Vol. 69, Issue 3 (April 2016), pp. 695-760",Vanderbilt Law Review,Vol.  69,3 (April 2016),2016,695,760,69 Vand. L. Rev. 695 (2016),2016,3,0,33,"Business Organizations, Compensation, Corporations",1524
24,A Legal Theory of Shareholder Primacy,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Minnesota Law Review, Vol. 102, Issue 5 (May 2018), pp. 1951-2018",Minnesota Law Review,Vol.  102,5 (May 2018),2018,1951,2018,102 Minn. L. Rev. 1951 (May 2018),2018,2,0,211,"Business Organizations, Economics, Business Judgment Rule, Democracy, Ethics",1524
25,How to Prepare Students to Meet Corporate Needs,comments,Robert J. Rhee,"Strine, Leo E. Jr. (Cited 1757 times); Borden, Bradley T. (Cited 184 times); Rhee, Robert J. (Cited 400 times); King, Tania",4,"Chapman Law Review, Vol. 17, Issue 1 (Fall 2013), pp. 195-214",Chapman Law Review,Vol.  17,1 (Fall 2013),2013,195,214,17 Chap. L. Rev. 195 (2013-2014),2013,0,0,4,"Students, Records, Age",1524
26,Essay: Foreword,comments,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Journal of Business & Technology Law, Vol. 8, Issue 1 (2013), pp. 157-162",Journal of Business & Technology Law,Vol.  8,1 (2013),2013,157,162,8 J. Bus. & Tech. L. 157 (2013),2013,0,0,1,"Legal Profession, Banking, Securities, Securities Law, Liability, Limited Liability Companies",1524
27,Corporate Short-Termism and Intertemporal Choice,article,Robert J. Rhee,"Rhee, Robert J. (Cited 400 times)",1,"Washington University Law Review, Vol. 96, Issue 3 (2018), pp. 495-558",Washington University Law Review,Vol.  96,3 (2018),2018,495,558,96 Wash. U. L. Rev. 495 (2018-2019),2018,0,0,24,"Business Organizations, Capital Market, Stocks, Banking and Finance, Economics",1524
28,"Tackling Arithmophobia: Teaching How to Read, Understand, and Analyze Financial Statements",article,Robert J. Rhee,"Williams, Paula J.; Tobin, Kris Anne; Franklin, Eric (Cited 15 times); Rhee, Robert J. (Cited 400 times)",4,"Transactions: The Tennessee Journal of Business Law, Vol. 14, Issue 3 (2013), pp. 341-360",Transactions: The Tennessee Journal of Business Law,Vol.  14,3 (2013),2013,341,360,14 Transactions: Tenn. J. Bus. L. 341 (2012-2013),2012,0,0,14,"Law Students, Literacy, Students, Curriculum, Accounting",1524
0,Corporate Political Speech: Who Decides,comments,Robert Jackson,"Bebchuk, Lucian A. (Cited 1687 times); Jackson, Robert J. Jr. (Cited 322 times)",2,"Harvard Law Review, Vol. 124, Issue 1 (November 2010), pp. 83-117",Harvard Law Review,Vol.  124,1 (November 2010),2010,83,117,124 Harv. L. Rev. 83 (November 2010),2010,116,0,64,"Corporations, First Amendment, Political Speech, Money, Politics",5470
1,Shining Light on Corporate Political Spending,article,Robert Jackson,"Bebchuk, Lucian A. (Cited 1687 times); Jackson, Robert J. Jr. (Cited 322 times)",2,"Georgetown Law Journal, Vol. 101, Issue 4 (April 2013), pp. 923-968",Georgetown Law Journal,Vol.  101,4 (April 2013),2013,923,968,101 Geo. L.J. 923 (2012-2013),2012,63,0,76,"Evidence, Economics, Business Organizations, Lobbying, Politics, Securities, Securities Law",5470
2,The Law and Economics of Blockholder Disclosure,article,Robert Jackson,"Bebchuk, Lucian A. (Cited 1687 times); Jackson, Robert J. Jr. (Cited 322 times)",2,"Harvard Business Law Review, Vol. 2, Issue 1 (Spring 2012), pp. 39-60",Harvard Business Law Review,Vol.  2,1 (Spring 2012),2012,39,60,2 Harv. Bus. L. Rev. 39 (2012),2012,31,0,72,"Economics, Law and Economics, Corporations, Insider Trading, Securities Law",5470
3,Executive Pensions,notes,Robert Jackson,"Bebchuk, Lucian A. (Cited 1687 times); Jackson, Robert J. Jr. (Cited 322 times)",2,"Journal of Corporation Law, Vol. 30, Issue 4 (Summer 2005), pp. 823-856",Journal of Corporation Law,Vol.  30,4 (Summer 2005),2005,823,856,30 J. Corp. L. 823 (2004-2005),2004,27,0,12,"Pensions, Retirement, Compensation, Contracts, Economics, Securities, Divorce",5470
4,Activist Directors and Agency Costs: What Happens When an Activist Director Goes on the Board,article,Robert Jackson,"Coffee, John C. Jr. (Cited 9702 times); Jackson, Robert J. Jr. (Cited 322 times); Mitts, Joshua R. (Cited 75 times); Bishop, Robert E. (Cited 19 times)",4,"Cornell Law Review, Vol. 104, Issue 2 (January 2019), pp. 381-466",Cornell Law Review,Vol.  104,2 (January 2019),2019,381,466,104 Cornell L. Rev. 381 (2018-2019),2018,19,0,5,"Evidence, Business Organizations, Comparative Law",5470
5,Pre-Disclosure Accumulations by Activist Investors: Evidence and Policy,article,Robert Jackson,"Bebchuk, Lucian A. (Cited 1687 times); Jackson, Robert J. Jr. (Cited 322 times); Jiang, Wei (Cited 98 times)",3,"Journal of Corporation Law, Vol. 39, Issue 1 (Fall 2013), pp. 1-34",Journal of Corporation Law,Vol.  39,1 (Fall 2013),2013,1,34,39 J. Corp. L. 1 (2013-2014),2013,14,0,59,"Evidence, Securities, Economics, Law and Economics",5470
6,Private Equity and Executive Compensation,article,Robert Jackson,"Jackson, Robert J. Jr. (Cited 322 times)",1,"UCLA Law Review, Vol. 60, Issue 3 (February 2013), pp. 638-677",UCLA Law Review,Vol.  60,3 (February 2013),2013,638,677,60 UCLA L. Rev. 638 (2012-2013),2012,10,0,47,"Compensation, Equity, Corporations, States",5470
7,Toward a Constitutional Review of the Poison Pill,article,Robert Jackson,"Bebchuk, Lucian A. (Cited 1687 times); Jackson, Robert J. Jr. (Cited 322 times)",2,"Columbia Law Review, Vol. 114, Issue 6 (October 2014), pp. 1549-[iv]",Columbia Law Review,Vol.  114,6 (October 2014),2014,1549,[iv],114 Colum. L. Rev. 1549 (2014),2014,10,0,29,"Constitutional Law, Corporations",5470
8,A New Model of Administrative Enforcement,article,Robert Jackson,"Jackson, Robert J. Jr. (Cited 322 times); Rosenberg, David (Cited 1605 times)",2,"Virginia Law Review, Vol. 93, Issue 8 (December 2007), pp. 1983-2016",Virginia Law Review,Vol.  93,8 (December 2007),2007,1983,2016,93 Va. L. Rev. 1983 (2007),2007,9,0,8,"Administration Law, Congress, Evidence, Fraud, Liability, Securities, Torts, Vicarious Liability",5470
9,Stock Unloading and Banker Incentives,article,Robert Jackson,"Jackson, Robert J. Jr. (Cited 322 times)",1,"Columbia Law Review, Vol. 112, Issue 4 (May 2012), pp. 951-990",Columbia Law Review,Vol.  112,4 (May 2012),2012,951,990,112 Colum. L. Rev. 951 (2012),2012,6,0,4,"Banking, Commercial Law, Equity, Insurance, Liability, Liability Insurance",5470
10,The Hidden Nature of Executive Retirement Pay,article,Robert Jackson,"Jackson, Robert J. Jr. (Cited 322 times); Honigsberg, Colleen (Cited 17 times)",2,"Virginia Law Review, Vol. 100, Issue 3 (May 2014), pp. 479-522",Virginia Law Review,Vol.  100,3 (May 2014),2014,479,522,100 Va. L. Rev. 479 (May 2014),2014,4,0,7,"Corporations, Economics, Retirement, Culture and Law, Pensions, Work Environment, Compensation, Contracts, Securities",5470
11,Comment: Cost-Benefit Analysis and the Courts,article,Robert Jackson,"Jackson, Robert J. Jr. (Cited 322 times)",1,"Law and Contemporary Problems, Vol. 78, Issue 3 (2015), pp. 55-64",Law and Contemporary Problems,Vol.  78,3 (2015),2015,55,64,78 Law & Contemp. Probs. 55 (2015),2015,3,0,11,"Courts, Regulation",5470
12,Corporate Governance and Executive Compensation: Evidence from Japan,article,Robert Jackson,"Jackson, Robert J. Jr. (Cited 322 times); Milhaupt, Curtis J. (Cited 781 times)",2,"Columbia Business Law Review, Vol. 2014, Issue 1 (2014), pp. 111-171",Columbia Business Law Review,Vol.  2014,1 (2014),2014,111,171,2014 Colum. Bus. L. Rev. 111 (2014),2014,2,0,40,"Comparative Law, Compensation, Corporations, Evidence, Business Organizations, States",5470
13,Torts - Strict Liability - Landowner Is Liable for Damage Done to Property of Others by Crop Spraying,notes,Robert Jackson,"Jackson, Robert J. (Cited 4 times)",1,"Villanova Law Review, Vol. 7, Issue 2 (Winter 1961-62), pp. 313-316",Villanova Law Review,Vol.  7,2 (Winter 1961-62),1961,313,316,7 Vill. L. Rev. 313 (Winter 1961-62),1961,2,0,0,"Liability, Property, Strict Liability, Torts, Nuisance",5470
14,Foreign Flag Vessel Use for Fish Processing in United States Waters,article,Robert Jackson,"Beaver, James E. (Cited 173 times); Hollowed, John (Cited 1 times); Jackson, Robert (Cited 3 times)",3,"Arizona Journal of International and Comparative Law, Vol. 7, Issue 2 (Fall 1989), pp. 287-312",Arizona Journal of International and Comparative Law,Vol.  7,2 (Fall 1989),1989,287,312,7 Ariz. J. Int'l & Comp. L. 287 (1989-1990),1989,1,0,0,"Law of the Sea, States, Fisheries, Conservation",5470
15,Enforcement of Anti-Trust Laws,article,Robert Jackson,"Jackson, Robert (Cited 3 times)",1,"Federal Bar Association Journal, Vol. 3, Issue 2 (1937-1939), pp. 71-130",Federal Bar Association Journal,Vol.  3,2 (1937-1939),1937,71,130,3 Fed. B. Ass'n J. 71 (1937-1939),1937,1,0,0,"Antitrust, Courts, States",5470
16,International Engagement in War-Torn Countries,article,Robert Jackson,"Jackson, Robert (Cited 3 times)",1,"Global Governance, Vol. 10, Issue 1 (January-March 2004), pp. 21-36",Global Governance,Vol.  10,1 (January-March 2004),2004,21,36,10 Global Governance 21 (2004),2004,1,0,6,"War, Politics, Taxation",5470
